"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUANCAVELICA",,,,,,,,,
"Viviendas particulares (001)",1761,1013,314,69,215,20,13,18,99
"Ocupantes presentes (002)",7555,4133,1440,292,1026,82,39,71,472
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",1567,878,285,61,207,17,12,18,89
"Ocupantes presentes (005)",6814,3640,1308,261,992,71,36,71,435
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",9,4,1,3,,,1,,
"Ocupantes presentes (008)",21,9,2,7,,,3,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",45,39,2,1,1,,,,2
"Ocupantes presentes (011)",146,121,9,3,8,,,,5
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",136,90,26,3,7,3,,,7
"Ocupantes presentes (014)",555,357,121,13,26,11,,,27
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",3,2,,1,,,,,
"Ocupantes presentes (020)",14,6,,8,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,,,,,,,1
"Ocupantes presentes (023)",5,,,,,,,,5
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1331,817,234,54,109,18,8,12,79
"Ocupantes presentes (029)",5700,3259,1104,230,591,73,14,57,372
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1137,682,205,46,101,15,7,12,69
"Ocupantes presentes (032)",4959,2766,972,199,557,62,11,57,335
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",9,4,1,3,,,1,,
"Ocupantes presentes (035)",21,9,2,7,,,3,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",45,39,2,1,1,,,,2
"Ocupantes presentes (038)",146,121,9,3,8,,,,5
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",136,90,26,3,7,3,,,7
"Ocupantes presentes (041)",555,357,121,13,26,11,,,27
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",3,2,,1,,,,,
"Ocupantes presentes (047)",14,6,,8,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,,,,,,,,1
"Ocupantes presentes (050)",5,,,,,,,,5
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",430,196,80,15,106,2,5,6,20
"Ocupantes presentes (056)",1855,874,336,62,435,9,25,14,100
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",430,196,80,15,106,2,5,6,20
"Ocupantes presentes (059)",1855,874,336,62,435,9,25,14,100
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
