"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia EL COLLAO (000)",1903,756,1147
"Sin nivel (001)",61,10,51
"Primaria (003)",437,119,318
"Secundaria (004)",1028,450,578
"Superior no univ. incompleta (005)",108,53,55
"Superior no univ. completa (006)",125,54,71
"Superior univ. incompleta (007)",34,17,17
"Superior univ. completa (008)",110,53,57
"Hombres (010)",1418,534,884
"Sin nivel (011)",35,2,33
"Primaria (013)",334,82,252
"Secundaria (014)",791,336,455
"Superior no univ. incompleta (015)",82,36,46
"Superior no univ. completa (016)",82,31,51
"Superior univ. incompleta (017)",26,15,11
"Superior univ. completa (018)",68,32,36
"Mujeres (020)",485,222,263
"Sin nivel (021)",26,8,18
"Primaria (023)",103,37,66
"Secundaria (024)",237,114,123
"Superior no univ. incompleta (025)",26,17,9
"Superior no univ. completa (026)",43,23,20
"Superior univ. incompleta (027)",8,2,6
"Superior univ. completa (028)",42,21,21
,,,
"AREA URBANA (030)",720,245,475
"Sin nivel (031)",16,5,11
"Primaria (033)",134,26,108
"Secundaria (034)",329,108,221
"Superior no univ. incompleta (035)",64,29,35
"Superior no univ. completa (036)",70,31,39
"Superior univ. incompleta (037)",28,12,16
"Superior univ. completa (038)",79,34,45
"Hombres (040)",464,142,322
"Sin nivel (041)",6,1,5
"Primaria (043)",82,15,67
"Secundaria (044)",222,67,155
"Superior no univ. incompleta (045)",50,19,31
"Superior no univ. completa (046)",39,13,26
"Superior univ. incompleta (047)",20,10,10
"Superior univ. completa (048)",45,17,28
"Mujeres (050)",256,103,153
"Sin nivel (051)",10,4,6
"Primaria (053)",52,11,41
"Secundaria (054)",107,41,66
"Superior no univ. incompleta (055)",14,10,4
"Superior no univ. completa (056)",31,18,13
"Superior univ. incompleta (057)",8,2,6
"Superior univ. completa (058)",34,17,17
,,,
"AREA RURAL (060)",1183,511,672
"Sin nivel (061)",45,5,40
"Primaria (063)",303,93,210
"Secundaria (064)",699,342,357
"Superior no univ. incompleta (065)",44,24,20
"Superior no univ. completa (066)",55,23,32
"Superior univ. incompleta (067)",6,5,1
"Superior univ. completa (068)",31,19,12
"Hombres (070)",954,392,562
"Sin nivel (071)",29,1,28
"Primaria (073)",252,67,185
"Secundaria (074)",569,269,300
"Superior no univ. incompleta (075)",32,17,15
"Superior no univ. completa (076)",43,18,25
"Superior univ. incompleta (077)",6,5,1
"Superior univ. completa (078)",23,15,8
"Mujeres (080)",229,119,110
"Sin nivel (081)",16,4,12
"Primaria (083)",51,26,25
"Secundaria (084)",130,73,57
"Superior no univ. incompleta (085)",12,7,5
"Superior no univ. completa (086)",12,5,7
"Superior univ. completa (088)",8,4,4
