"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ABANCAY (000)",1516,345,1171
"De 14 a 29 años (001)",755,257,498
"De 30 a 44 años (002)",502,77,425
"De 45 a 64 años (003)",226,11,215
"De 65 y más años (004)",33,,33
"Hombres (005)",979,182,797
"De 14 a 29 años (006)",444,143,301
"De 30 a 44 años (007)",321,32,289
"De 45 a 64 años (008)",183,7,176
"De 65 y más años (009)",31,,31
"Mujeres (010)",537,163,374
"De 14 a 29 años (011)",311,114,197
"De 30 a 44 años (012)",181,45,136
"De 45 a 64 años (013)",43,4,39
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",1201,301,900
"De 14 a 29 años (016)",616,216,400
"De 30 a 44 años (017)",415,74,341
"De 45 a 64 años (018)",155,11,144
"De 65 y más años (019)",15,,15
"Hombres (020)",707,152,555
"De 14 a 29 años (021)",335,114,221
"De 30 a 44 años (022)",243,31,212
"De 45 a 64 años (023)",115,7,108
"De 65 y más años (024)",14,,14
"Mujeres (025)",494,149,345
"De 14 a 29 años (026)",281,102,179
"De 30 a 44 años (027)",172,43,129
"De 45 a 64 años (028)",40,4,36
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",315,44,271
"De 14 a 29 años (031)",139,41,98
"De 30 a 44 años (032)",87,3,84
"De 45 a 64 años (033)",71,,71
"De 65 y más años (034)",18,,18
"Hombres (035)",272,30,242
"De 14 a 29 años (036)",109,29,80
"De 30 a 44 años (037)",78,1,77
"De 45 a 64 años (038)",68,,68
"De 65 y más años (039)",17,,17
"Mujeres (040)",43,14,29
"De 14 a 29 años (041)",30,12,18
"De 30 a 44 años (042)",9,2,7
"De 45 a 64 años (043)",3,,3
"De 65 y más años (044)",1,,1
