"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TUMBES (000)",142338,2896,39710,40296,30841,21228,7367
"Hombres (001)",73057,1480,20299,20614,15545,11241,3878
"Mujeres (002)",69281,1416,19411,19682,15296,9987,3489
"Viviendas particulares (003)",139811,2893,39683,38565,30343,20999,7328
"Hombres (004)",70750,1479,20285,18975,15105,11053,3853
"Mujeres (005)",69061,1414,19398,19590,15238,9946,3475
"Viviendas colectivas (006)",2435,3,25,1698,474,201,34
"Hombres (007)",2231,1,13,1611,419,165,22
"Mujeres (008)",204,2,12,87,55,36,12
"Otro tipo (009)",92,,2,33,24,28,5
"Hombres (010)",76,,1,28,21,23,3
"Mujeres (011)",16,,1,5,3,5,2
,,,,,,,
"URBANA (012)",131105,2659,36772,37139,28549,19471,6515
"Hombres (013)",67205,1363,18835,18984,14348,10302,3373
"Mujeres (014)",63900,1296,17937,18155,14201,9169,3142
"Viviendas particulares (015)",128578,2656,36745,35408,28051,19242,6476
"Hombres (016)",64898,1362,18821,17345,13908,10114,3348
"Mujeres (017)",63680,1294,17924,18063,14143,9128,3128
"Viviendas colectivas (018)",2435,3,25,1698,474,201,34
"Hombres (019)",2231,1,13,1611,419,165,22
"Mujeres (020)",204,2,12,87,55,36,12
"Otro tipo (021)",92,,2,33,24,28,5
"Hombres (022)",76,,1,28,21,23,3
"Mujeres (023)",16,,1,5,3,5,2
,,,,,,,
"RURAL (024)",11233,237,2938,3157,2292,1757,852
"Hombres (025)",5852,117,1464,1630,1197,939,505
"Mujeres (026)",5381,120,1474,1527,1095,818,347
"Viviendas particulares (027)",11233,237,2938,3157,2292,1757,852
"Hombres (028)",5852,117,1464,1630,1197,939,505
"Mujeres (029)",5381,120,1474,1527,1095,818,347
