"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CONTUMAZA (000)",13165,1939,3809,3421,3996
"Asiste actualmente (001)",8044,885,3563,2664,932
"No asiste (002)",5121,1054,246,757,3064
"Hombres (004)",6773,971,1972,1788,2042
"Asiste actualmente (005)",4173,429,1849,1417,478
"No asiste (006)",2600,542,123,371,1564
"Mujeres (008)",6392,968,1837,1633,1954
"Asiste actualmente (009)",3871,456,1714,1247,454
"No asiste (010)",2521,512,123,386,1500
,,,,,
"URBANA (012)",5256,684,1409,1485,1678
"Asiste actualmente (013)",3836,427,1366,1395,648
"No asiste (014)",1420,257,43,90,1030
"Hombres (016)",2703,345,735,768,855
"Asiste actualmente (017)",1984,217,718,732,317
"No asiste (018)",719,128,17,36,538
"Mujeres (020)",2553,339,674,717,823
"Asiste actualmente (021)",1852,210,648,663,331
"No asiste (022)",701,129,26,54,492
,,,,,
"RURAL (024)",7909,1255,2400,1936,2318
"Asiste actualmente (025)",4208,458,2197,1269,284
"No asiste (026)",3701,797,203,667,2034
"Hombres (028)",4070,626,1237,1020,1187
"Asiste actualmente (029)",2189,212,1131,685,161
"No asiste (030)",1881,414,106,335,1026
"Mujeres (032)",3839,629,1163,916,1131
"Asiste actualmente (033)",2019,246,1066,584,123
"No asiste (034)",1820,383,97,332,1008
