"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia SAN ANTONIO DE PUTINA (000)",32600,31961,639
"Hombres (001)",17731,17414,317
"Mujeres (002)",14869,14547,322
"De 18 a 29 años (003)",13702,13256,446
"Hombres (004)",7277,7034,243
"Mujeres (005)",6425,6222,203
"De 30 a 44 años (006)",10783,10737,46
"Hombres (007)",6102,6075,27
"Mujeres (008)",4681,4662,19
"De 45 a 64 años (009)",5931,5895,36
"Hombres (010)",3290,3277,13
"Mujeres (011)",2641,2618,23
"De 65 y más años (012)",2184,2073,111
"Hombres (013)",1062,1028,34
"Mujeres (014)",1122,1045,77
,,,
"URBANA (015)",22005,21598,407
"Hombres (016)",12187,11974,213
"Mujeres (017)",9818,9624,194
"De 18 a 29 años (018)",9800,9483,317
"Hombres (019)",5164,4996,168
"Mujeres (020)",4636,4487,149
"De 30 a 44 años (021)",7739,7714,25
"Hombres (022)",4477,4462,15
"Mujeres (023)",3262,3252,10
"De 45 a 64 años (024)",3511,3490,21
"Hombres (025)",2061,2051,10
"Mujeres (026)",1450,1439,11
"De 65 y más años (027)",955,911,44
"Hombres (028)",485,465,20
"Mujeres (029)",470,446,24
,,,
"RURAL (030)",10595,10363,232
"Hombres (031)",5544,5440,104
"Mujeres (032)",5051,4923,128
"De 18 a 29 años (033)",3902,3773,129
"Hombres (034)",2113,2038,75
"Mujeres (035)",1789,1735,54
"De 30 a 44 años (036)",3044,3023,21
"Hombres (037)",1625,1613,12
"Mujeres (038)",1419,1410,9
"De 45 a 64 años (039)",2420,2405,15
"Hombres (040)",1229,1226,3
"Mujeres (041)",1191,1179,12
"De 65 y más años (042)",1229,1162,67
"Hombres (043)",577,563,14
"Mujeres (044)",652,599,53
