"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CHURCAMPA (000)",22619,3647,7873,5821,5278
"Asiste actualmente (001)",15652,1345,7481,5237,1589
"No asiste (002)",6967,2302,392,584,3689
"Hombres (004)",11354,1767,4061,2888,2638
"Asiste actualmente (005)",8143,661,3871,2665,946
"No asiste (006)",3211,1106,190,223,1692
"Mujeres (008)",11265,1880,3812,2933,2640
"Asiste actualmente (009)",7509,684,3610,2572,643
"No asiste (010)",3756,1196,202,361,1997
,,,,,
"URBANA (012)",4525,652,1398,1253,1222
"Asiste actualmente (013)",3362,282,1355,1187,538
"No asiste (014)",1163,370,43,66,684
"Hombres (016)",2300,315,711,639,635
"Asiste actualmente (017)",1740,141,688,613,298
"No asiste (018)",560,174,23,26,337
"Mujeres (020)",2225,337,687,614,587
"Asiste actualmente (021)",1622,141,667,574,240
"No asiste (022)",603,196,20,40,347
,,,,,
"RURAL (024)",18094,2995,6475,4568,4056
"Asiste actualmente (025)",12290,1063,6126,4050,1051
"No asiste (026)",5804,1932,349,518,3005
"Hombres (028)",9054,1452,3350,2249,2003
"Asiste actualmente (029)",6403,520,3183,2052,648
"No asiste (030)",2651,932,167,197,1355
"Mujeres (032)",9040,1543,3125,2319,2053
"Asiste actualmente (033)",5887,543,2943,1998,403
"No asiste (034)",3153,1000,182,321,1650
