"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia LAMAS (000)",26661,25867,6759,3545,3664,2804,3947,2350,2798,794
"Católica (001)",18799,18212,4815,2517,2657,1961,2765,1631,1866,587
"Cristiana/Evangélica (002)",4235,4143,984,502,493,463,680,445,576,92
"Otra (003)",1413,1376,365,151,175,141,226,136,182,37
"Ninguna (004)",2214,2136,595,375,339,239,276,138,174,78
,,,,,,,,,,
"URBANA (006)",13939,13498,3629,1857,1978,1535,2085,1157,1257,441
"Católica (007)",10246,9909,2689,1371,1496,1136,1520,832,865,337
"Cristiana/Evangélica (008)",2113,2066,489,244,264,237,341,214,277,47
"Otra (009)",674,657,178,76,82,68,112,65,76,17
"Ninguna (010)",906,866,273,166,136,94,112,46,39,40
,,,,,,,,,,
"RURAL (012)",12722,12369,3130,1688,1686,1269,1862,1193,1541,353
"Católica (013)",8553,8303,2126,1146,1161,825,1245,799,1001,250
"Cristiana/Evangélica (014)",2122,2077,495,258,229,226,339,231,299,45
"Otra (015)",739,719,187,75,93,73,114,71,106,20
"Ninguna (016)",1308,1270,322,209,203,145,164,92,135,38
