"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAJATAMBO (000)",2864,64,700,988,780,332
"Empleado (001)",579,2,131,296,142,8
"Obrero (002)",526,6,172,186,121,41
"Trabajador independiente (003)",1224,17,209,377,407,214
"Empleador o patrono (004)",59,,10,15,20,14
"Trabajador familiar no remunerado (005)",422,38,159,96,83,46
"Trabajador del hogar (006)",54,1,19,18,7,9
"Hombres (008)",2085,37,516,705,578,249
"Empleado (009)",338,,64,173,97,4
"Obrero (010)",459,6,157,162,103,31
"Trabajador independiente (011)",967,9,166,300,313,179
"Empleador o patrono (012)",50,,9,13,18,10
"Trabajador familiar no remunerado (013)",268,22,118,56,47,25
"Trabajador del hogar (014)",3,,2,1,,
"Mujeres (016)",779,27,184,283,202,83
"Empleado (017)",241,2,67,123,45,4
"Obrero (018)",67,,15,24,18,10
"Trabajador independiente (019)",257,8,43,77,94,35
"Empleador o patrono (020)",9,,1,2,2,4
"Trabajador familiar no remunerado (021)",154,16,41,40,36,21
"Trabajador del hogar (022)",51,1,17,17,7,9
,,,,,,
"URBANA (024)",1734,45,405,620,471,193
"Empleado (025)",461,2,113,225,114,7
"Obrero (026)",302,3,85,116,70,28
"Trabajador independiente (027)",680,13,111,210,223,123
"Empleador o patrono (028)",40,,9,12,11,8
"Trabajador familiar no remunerado (029)",204,26,72,41,46,19
"Trabajador del hogar (030)",47,1,15,16,7,8
"Hombres (032)",1142,25,271,403,313,130
"Empleado (033)",265,,53,133,76,3
"Obrero (034)",250,3,75,96,58,18
"Trabajador independiente (035)",475,7,81,143,148,96
"Empleador o patrono (036)",33,,8,10,10,5
"Trabajador familiar no remunerado (037)",117,15,53,20,21,8
"Trabajador del hogar (038)",2,,1,1,,
"Mujeres (040)",592,20,134,217,158,63
"Empleado (041)",196,2,60,92,38,4
"Obrero (042)",52,,10,20,12,10
"Trabajador independiente (043)",205,6,30,67,75,27
"Empleador o patrono (044)",7,,1,2,1,3
"Trabajador familiar no remunerado (045)",87,11,19,21,25,11
"Trabajador del hogar (046)",45,1,14,15,7,8
,,,,,,
"RURAL (048)",1130,19,295,368,309,139
"Empleado (049)",118,,18,71,28,1
"Obrero (050)",224,3,87,70,51,13
"Trabajador independiente (051)",544,4,98,167,184,91
"Empleador o patrono (052)",19,,1,3,9,6
"Trabajador familiar no remunerado (053)",218,12,87,55,37,27
"Trabajador del hogar (054)",7,,4,2,,1
"Hombres (056)",943,12,245,302,265,119
"Empleado (057)",73,,11,40,21,1
"Obrero (058)",209,3,82,66,45,13
"Trabajador independiente (059)",492,2,85,157,165,83
"Empleador o patrono (060)",17,,1,3,8,5
"Trabajador familiar no remunerado (061)",151,7,65,36,26,17
"Trabajador del hogar (062)",1,,1,,,
"Mujeres (064)",187,7,50,66,44,20
"Empleado (065)",45,,7,31,7,
"Obrero (066)",15,,5,4,6,
"Trabajador independiente (067)",52,2,13,10,19,8
"Empleador o patrono (068)",2,,,,1,1
"Trabajador familiar no remunerado (069)",67,5,22,19,11,10
"Trabajador del hogar (070)",6,,3,2,,1
