"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia PATAZ (000)",42276,38522,3754
"Hombres (001)",23073,21645,1428
"Mujeres (002)",19203,16877,2326
"De 18 a 29 años (003)",14558,13263,1295
"Hombres (004)",8230,7597,633
"Mujeres (005)",6328,5666,662
"De 30 a 44 años (006)",14149,13712,437
"Hombres (007)",7995,7835,160
"Mujeres (008)",6154,5877,277
"De 45 a 64 años (009)",9053,8292,761
"Hombres (010)",4723,4482,241
"Mujeres (011)",4330,3810,520
"De 65 y más años (012)",4516,3255,1261
"Hombres (013)",2125,1731,394
"Mujeres (014)",2391,1524,867
,,,
"URBANA (015)",12034,11448,586
"Hombres (016)",6562,6344,218
"Mujeres (017)",5472,5104,368
"De 18 a 29 años (018)",4418,4162,256
"Hombres (019)",2482,2354,128
"Mujeres (020)",1936,1808,128
"De 30 a 44 años (021)",4283,4231,52
"Hombres (022)",2393,2381,12
"Mujeres (023)",1890,1850,40
"De 45 a 64 años (024)",2324,2242,82
"Hombres (025)",1226,1196,30
"Mujeres (026)",1098,1046,52
"De 65 y más años (027)",1009,813,196
"Hombres (028)",461,413,48
"Mujeres (029)",548,400,148
,,,
"RURAL (030)",30242,27074,3168
"Hombres (031)",16511,15301,1210
"Mujeres (032)",13731,11773,1958
"De 18 a 29 años (033)",10140,9101,1039
"Hombres (034)",5748,5243,505
"Mujeres (035)",4392,3858,534
"De 30 a 44 años (036)",9866,9481,385
"Hombres (037)",5602,5454,148
"Mujeres (038)",4264,4027,237
"De 45 a 64 años (039)",6729,6050,679
"Hombres (040)",3497,3286,211
"Mujeres (041)",3232,2764,468
"De 65 y más años (042)",3507,2442,1065
"Hombres (043)",1664,1318,346
"Mujeres (044)",1843,1124,719
