"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CORONEL PORTILLO",,,
"Viviendas particulares (001)",72167,52521,19646
"Ocupantes presentes (002)",328463,243226,85237
"Casa independiente",,,
"Viviendas particulares (004)",63918,48180,15738
"Ocupantes presentes (005)",297160,228568,68592
"Departamento en edificio",,,
"Viviendas particulares (007)",428,428,
"Ocupantes presentes (008)",1311,1311,
"Vivienda en quinta",,,
"Viviendas particulares (010)",2532,2532,
"Ocupantes presentes (011)",7464,7464,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",525,480,45
"Ocupantes presentes (014)",1951,1770,181
"Choza o cabaña",,,
"Viviendas particulares (016)",3832,455,3377
"Ocupantes presentes (017)",17128,2351,14777
"Vivienda improvisada",,,
"Viviendas particulares (019)",796,342,454
"Ocupantes presentes (020)",3049,1480,1569
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",106,94,12
"Ocupantes presentes (023)",281,244,37
"Otro tipo",,,
"Viviendas particulares (025)",30,10,20
"Ocupantes presentes (026)",119,38,81
,,,
URBANA,,,
"Viviendas particulares (028)",60844,50915,9929
"Ocupantes presentes (029)",277747,235583,42164
"Casa independiente",,,
"Viviendas particulares (031)",56441,47029,9412
"Ocupantes presentes (032)",263644,223276,40368
"Departamento en edificio",,,
"Viviendas particulares (034)",428,428,
"Ocupantes presentes (035)",1311,1311,
"Vivienda en quinta",,,
"Viviendas particulares (037)",2532,2532,
"Ocupantes presentes (038)",7464,7464,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",525,480,45
"Ocupantes presentes (041)",1951,1770,181
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",796,342,454
"Ocupantes presentes (047)",3049,1480,1569
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",102,94,8
"Ocupantes presentes (050)",266,244,22
"Otro tipo",,,
"Viviendas particulares (052)",20,10,10
"Ocupantes presentes (053)",62,38,24
,,,
RURAL,,,
"Viviendas particulares (055)",11323,1606,9717
"Ocupantes presentes (056)",50716,7643,43073
"Casa independiente",,,
"Viviendas particulares (058)",7477,1151,6326
"Ocupantes presentes (059)",33516,5292,28224
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",3832,455,3377
"Ocupantes presentes (071)",17128,2351,14777
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",4,,4
"Ocupantes presentes (077)",15,,15
"Otro tipo",,,
"Viviendas particulares (079)",10,,10
"Ocupantes presentes (080)",57,,57
