"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia TRUJILLO (000)",334868,315498,106391,53504,52724,37432,37622,16126,11699,19370
"Católica (001)",255805,240373,82016,42038,41401,28534,27479,11136,7769,15432
"Cristiana/Evangélica (002)",54562,51992,15747,7439,7775,6383,7641,3851,3156,2570
"Otra (003)",13967,13197,4638,1949,1927,1577,1685,830,591,770
"Ninguna (004)",10534,9936,3990,2078,1621,938,817,309,183,598
,,,,,,,,,,
"URBANA (006)",327799,308728,104425,52487,51682,36681,36684,15613,11156,19071
"Católica (007)",250457,235268,80491,41251,40582,27977,26798,10777,7392,15189
"Cristiana/Evangélica (008)",53315,50785,15442,7300,7614,6230,7451,3729,3019,2530
"Otra (009)",13763,12997,4580,1920,1901,1553,1655,811,577,766
"Ninguna (010)",10264,9678,3912,2016,1585,921,780,296,168,586
,,,,,,,,,,
"RURAL (012)",7069,6770,1966,1017,1042,751,938,513,543,299
"Católica (013)",5348,5105,1525,787,819,557,681,359,377,243
"Cristiana/Evangélica (014)",1247,1207,305,139,161,153,190,122,137,40
"Otra (015)",204,200,58,29,26,24,30,19,14,4
"Ninguna (016)",270,258,78,62,36,17,37,13,15,12
