"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia REQUENA",,,
"Viviendas particulares (001)",12133,7316,4817
"Ocupantes presentes (002)",64780,39360,25420
"Casa independiente",,,
"Viviendas particulares (004)",10130,6564,3566
"Ocupantes presentes (005)",54479,35635,18844
"Departamento en edificio",,,
"Viviendas particulares (007)",5,5,
"Ocupantes presentes (008)",13,13,
"Vivienda en quinta",,,
"Viviendas particulares (010)",72,72,
"Ocupantes presentes (011)",291,291,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",6,5,1
"Ocupantes presentes (014)",25,22,3
"Choza o cabaña",,,
"Viviendas particulares (016)",1837,628,1209
"Ocupantes presentes (017)",9614,3202,6412
"Vivienda improvisada",,,
"Viviendas particulares (019)",58,35,23
"Ocupantes presentes (020)",252,158,94
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",15,6,9
"Ocupantes presentes (023)",52,30,22
"Otro tipo",,,
"Viviendas particulares (025)",10,1,9
"Ocupantes presentes (026)",54,9,45
,,,
URBANA,,,
"Viviendas particulares (028)",6785,5466,1319
"Ocupantes presentes (029)",36704,29672,7032
"Casa independiente",,,
"Viviendas particulares (031)",6632,5343,1289
"Ocupantes presentes (032)",36073,29151,6922
"Departamento en edificio",,,
"Viviendas particulares (034)",5,5,
"Ocupantes presentes (035)",13,13,
"Vivienda en quinta",,,
"Viviendas particulares (037)",72,72,
"Ocupantes presentes (038)",291,291,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",6,5,1
"Ocupantes presentes (041)",25,22,3
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",58,35,23
"Ocupantes presentes (047)",252,158,94
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",10,5,5
"Ocupantes presentes (050)",40,28,12
"Otro tipo",,,
"Viviendas particulares (052)",2,1,1
"Ocupantes presentes (053)",10,9,1
,,,
RURAL,,,
"Viviendas particulares (055)",5348,1850,3498
"Ocupantes presentes (056)",28076,9688,18388
"Casa independiente",,,
"Viviendas particulares (058)",3498,1221,2277
"Ocupantes presentes (059)",18406,6484,11922
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",1837,628,1209
"Ocupantes presentes (071)",9614,3202,6412
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",5,1,4
"Ocupantes presentes (077)",12,2,10
"Otro tipo",,,
"Viviendas particulares (079)",8,,8
"Ocupantes presentes (080)",44,,44
