"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia MOHO (000)",21070,3462,2911,2923,2917,2576,6281
"Conviviente (001)",3182,68,724,1177,613,288,312
"Separado(a) (002)",379,2,37,67,86,68,119
"Casado(a) (003)",8649,14,146,926,1775,1864,3924
"Viudo(a) (004)",1941,1,4,36,98,162,1640
"Divorciado(a) (005)",62,,6,5,12,9,30
"Soltero(a) (006)",6857,3377,1994,712,333,185,256
"Hombres (008)",10240,1848,1481,1377,1405,1230,2899
"Conviviente (009)",1479,26,258,565,307,160,163
"Separado(a) (010)",105,1,2,13,22,24,43
"Casado(a) (011)",4190,5,44,363,828,887,2063
"Viudo(a) (012)",646,1,1,11,34,53,546
"Divorciado(a) (013)",29,,3,3,3,7,13
"Soltero(a) (014)",3791,1815,1173,422,211,99,71
"Mujeres (016)",10830,1614,1430,1546,1512,1346,3382
"Conviviente (017)",1703,42,466,612,306,128,149
"Separado(a) (018)",274,1,35,54,64,44,76
"Casado(a) (019)",4459,9,102,563,947,977,1861
"Viudo(a) (020)",1295,,3,25,64,109,1094
"Divorciado(a) (021)",33,,3,2,9,2,17
"Soltero(a) (022)",3066,1562,821,290,122,86,185
,,,,,,,
"URBANA (024)",5942,1087,956,1050,965,730,1154
"Conviviente (025)",1207,41,240,476,227,109,114
"Separado(a) (026)",101,2,12,21,29,15,22
"Casado(a) (027)",2167,7,58,313,577,502,710
"Viudo(a) (028)",351,,2,18,34,47,250
"Divorciado(a) (029)",20,,4,3,2,5,6
"Soltero(a) (030)",2096,1037,640,219,96,52,52
"Hombres (032)",3097,599,506,509,488,395,600
"Conviviente (033)",592,18,102,232,114,64,62
"Separado(a) (034)",28,1,1,5,8,5,8
"Casado(a) (035)",1131,2,21,135,298,264,411
"Viudo(a) (036)",133,,1,5,9,22,96
"Divorciado(a) (037)",9,,2,1,,4,2
"Soltero(a) (038)",1204,578,379,131,59,36,21
"Mujeres (040)",2845,488,450,541,477,335,554
"Conviviente (041)",615,23,138,244,113,45,52
"Separado(a) (042)",73,1,11,16,21,10,14
"Casado(a) (043)",1036,5,37,178,279,238,299
"Viudo(a) (044)",218,,1,13,25,25,154
"Divorciado(a) (045)",11,,2,2,2,1,4
"Soltero(a) (046)",892,459,261,88,37,16,31
,,,,,,,
"RURAL (048)",15128,2375,1955,1873,1952,1846,5127
"Conviviente (049)",1975,27,484,701,386,179,198
"Separado(a) (050)",278,,25,46,57,53,97
"Casado(a) (051)",6482,7,88,613,1198,1362,3214
"Viudo(a) (052)",1590,1,2,18,64,115,1390
"Divorciado(a) (053)",42,,2,2,10,4,24
"Soltero(a) (054)",4761,2340,1354,493,237,133,204
"Hombres (056)",7143,1249,975,868,917,835,2299
"Conviviente (057)",887,8,156,333,193,96,101
"Separado(a) (058)",77,,1,8,14,19,35
"Casado(a) (059)",3059,3,23,228,530,623,1652
"Viudo(a) (060)",513,1,,6,25,31,450
"Divorciado(a) (061)",20,,1,2,3,3,11
"Soltero(a) (062)",2587,1237,794,291,152,63,50
"Mujeres (064)",7985,1126,980,1005,1035,1011,2828
"Conviviente (065)",1088,19,328,368,193,83,97
"Separado(a) (066)",201,,24,38,43,34,62
"Casado(a) (067)",3423,4,65,385,668,739,1562
"Viudo(a) (068)",1077,,2,12,39,84,940
"Divorciado(a) (069)",22,,1,,7,1,13
"Soltero(a) (070)",2174,1103,560,202,85,70,154
