"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia MOYOBAMBA",,,,,,,,,
"Hogares (001)",27515,108,9159,62,108,17180,13,6,879
"Ocupantes presentes (002)",114445,378,35722,215,476,76276,53,24,1301
"Casa independiente",,,,,,,,,
"Hogares (004)",25084,87,8214,56,104,16103,11,5,504
"Ocupantes presentes (005)",106081,327,32663,200,467,71593,44,20,767
"Departamento en edificio",,,,,,,,,
"Hogares (007)",108,4,81,,,,,,23
"Ocupantes presentes (008)",344,15,299,,,,,,30
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",1035,13,725,2,,,,,295
"Ocupantes presentes (011)",2731,29,2280,4,,,,,418
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",197,3,98,,1,66,,,29
"Ocupantes presentes (014)",652,6,346,,3,256,,,41
"Choza o cabaña",,,,,,,,,
"Hogares (016)",987,,17,4,2,950,,,14
"Ocupantes presentes (017)",4263,,48,11,4,4179,,,21
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",75,,15,,1,47,2,1,9
"Ocupantes presentes (020)",276,,67,,2,181,9,4,13
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",23,,8,,,10,,,5
"Ocupantes presentes (023)",80,,18,,,51,,,11
"Otro tipo",,,,,,,,,
"Hogares (025)",6,1,1,,,4,,,
"Ocupantes presentes (026)",18,1,1,,,16,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",16836,107,8755,35,69,7067,5,5,793
"Ocupantes presentes (029)",67462,376,34287,114,300,31167,25,22,1171
"Casa independiente",,,,,,,,,
"Hogares (031)",15398,86,7828,33,67,6944,3,4,433
"Ocupantes presentes (032)",63390,325,31278,110,295,30688,16,18,660
"Departamento en edificio",,,,,,,,,
"Hogares (034)",108,4,81,,,,,,23
"Ocupantes presentes (035)",344,15,299,,,,,,30
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",1035,13,725,2,,,,,295
"Ocupantes presentes (038)",2731,29,2280,4,,,,,418
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",197,3,98,,1,66,,,29
"Ocupantes presentes (041)",652,6,346,,3,256,,,41
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",75,,15,,1,47,2,1,9
"Ocupantes presentes (047)",276,,67,,2,181,9,4,13
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",18,,7,,,7,,,4
"Ocupantes presentes (050)",55,,16,,,30,,,9
"Otro tipo",,,,,,,,,
"Hogares (052)",5,1,1,,,3,,,
"Ocupantes presentes (053)",14,1,1,,,12,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",10679,1,404,27,39,10113,8,1,86
"Ocupantes presentes (056)",46983,2,1435,101,176,45109,28,2,130
"Casa independiente",,,,,,,,,
"Hogares (058)",9686,1,386,23,37,9159,8,1,71
"Ocupantes presentes (059)",42691,2,1385,90,172,40905,28,2,107
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",987,,17,4,2,950,,,14
"Ocupantes presentes (071)",4263,,48,11,4,4179,,,21
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",5,,1,,,3,,,1
"Ocupantes presentes (077)",25,,2,,,21,,,2
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,1,,,
"Ocupantes presentes (080)",4,,,,,4,,,
