"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ISLAY (000)",21271,838,23,3793,7761,1950,3433,917,2556
"Empleado (001)",4645,36,2,161,1054,516,1501,325,1050
"Obrero (002)",7547,428,7,1822,3439,614,755,220,262
"Trabajador independiente (003)",7268,279,8,1405,2588,641,965,281,1101
"Empleador o patrono (004)",512,27,,118,168,46,59,36,58
"Trabajador familiar no remunerado (005)",921,56,5,198,347,101,100,42,72
"Trabajador del hogar (006)",378,12,1,89,165,32,53,13,13
"Hombres (008)",13627,306,14,2186,5510,1274,2012,666,1659
"Empleado (009)",2638,13,2,96,734,280,749,212,552
"Obrero (010)",5529,170,4,1145,2695,499,623,187,206
"Trabajador independiente (011)",4608,93,4,767,1762,415,542,216,809
"Empleador o patrono (012)",400,17,,86,137,39,42,29,50
"Trabajador familiar no remunerado (013)",414,12,4,79,170,40,49,19,41
"Trabajador del hogar (014)",38,1,,13,12,1,7,3,1
"Mujeres (016)",7644,532,9,1607,2251,676,1421,251,897
"Empleado (017)",2007,23,,65,320,236,752,113,498
"Obrero (018)",2018,258,3,677,744,115,132,33,56
"Trabajador independiente (019)",2660,186,4,638,826,226,423,65,292
"Empleador o patrono (020)",112,10,,32,31,7,17,7,8
"Trabajador familiar no remunerado (021)",507,44,1,119,177,61,51,23,31
"Trabajador del hogar (022)",340,11,1,76,153,31,46,10,12
,,,,,,,,,
"URBANA (024)",18750,659,19,3188,6818,1763,3121,810,2372
"Empleado (025)",4405,35,2,157,991,496,1429,309,986
"Obrero (026)",6096,313,6,1470,2856,498,597,163,193
"Trabajador independiente (027)",6777,242,7,1252,2410,614,920,261,1071
"Empleador o patrono (028)",372,14,,82,118,37,48,31,42
"Trabajador familiar no remunerado (029)",731,44,3,144,280,86,74,33,67
"Trabajador del hogar (030)",369,11,1,83,163,32,53,13,13
"Hombres (032)",11770,209,12,1807,4781,1124,1760,568,1509
"Empleado (033)",2448,12,2,92,686,264,690,200,502
"Obrero (034)",4440,109,4,934,2233,400,480,133,147
"Trabajador independiente (035)",4233,71,4,654,1620,392,512,196,784
"Empleador o patrono (036)",288,5,,59,97,30,35,25,37
"Trabajador familiar no remunerado (037)",326,11,2,56,135,37,36,11,38
"Trabajador del hogar (038)",35,1,,12,10,1,7,3,1
"Mujeres (040)",6980,450,7,1381,2037,639,1361,242,863
"Empleado (041)",1957,23,,65,305,232,739,109,484
"Obrero (042)",1656,204,2,536,623,98,117,30,46
"Trabajador independiente (043)",2544,171,3,598,790,222,408,65,287
"Empleador o patrono (044)",84,9,,23,21,7,13,6,5
"Trabajador familiar no remunerado (045)",405,33,1,88,145,49,38,22,29
"Trabajador del hogar (046)",334,10,1,71,153,31,46,10,12
,,,,,,,,,
"RURAL (048)",2521,179,4,605,943,187,312,107,184
"Empleado (049)",240,1,,4,63,20,72,16,64
"Obrero (050)",1451,115,1,352,583,116,158,57,69
"Trabajador independiente (051)",491,37,1,153,178,27,45,20,30
"Empleador o patrono (052)",140,13,,36,50,9,11,5,16
"Trabajador familiar no remunerado (053)",190,12,2,54,67,15,26,9,5
"Trabajador del hogar (054)",9,1,,6,2,,,,
"Hombres (056)",1857,97,2,379,729,150,252,98,150
"Empleado (057)",190,1,,4,48,16,59,12,50
"Obrero (058)",1089,61,,211,462,99,143,54,59
"Trabajador independiente (059)",375,22,,113,142,23,30,20,25
"Empleador o patrono (060)",112,12,,27,40,9,7,4,13
"Trabajador familiar no remunerado (061)",88,1,2,23,35,3,13,8,3
"Trabajador del hogar (062)",3,,,1,2,,,,
"Mujeres (064)",664,82,2,226,214,37,60,9,34
"Empleado (065)",50,,,,15,4,13,4,14
"Obrero (066)",362,54,1,141,121,17,15,3,10
"Trabajador independiente (067)",116,15,1,40,36,4,15,,5
"Empleador o patrono (068)",28,1,,9,10,,4,1,3
"Trabajador familiar no remunerado (069)",102,11,,31,32,12,13,1,2
"Trabajador del hogar (070)",6,1,,5,,,,,
