"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CANTA (000)",5341,736,1477,1335,1793
"Asiste actualmente (001)",3471,457,1375,1150,489
"No asiste (002)",1870,279,102,185,1304
"Hombres (004)",2750,382,731,688,949
"Asiste actualmente (005)",1747,224,682,591,250
"No asiste (006)",1003,158,49,97,699
"Mujeres (008)",2591,354,746,647,844
"Asiste actualmente (009)",1724,233,693,559,239
"No asiste (010)",867,121,53,88,605
,,,,,
"URBANA (012)",2372,320,700,628,724
"Asiste actualmente (013)",1694,214,675,566,239
"No asiste (014)",678,106,25,62,485
"Hombres (016)",1224,169,348,315,392
"Asiste actualmente (017)",856,104,342,288,122
"No asiste (018)",368,65,6,27,270
"Mujeres (020)",1148,151,352,313,332
"Asiste actualmente (021)",838,110,333,278,117
"No asiste (022)",310,41,19,35,215
,,,,,
"RURAL (024)",2969,416,777,707,1069
"Asiste actualmente (025)",1777,243,700,584,250
"No asiste (026)",1192,173,77,123,819
"Hombres (028)",1526,213,383,373,557
"Asiste actualmente (029)",891,120,340,303,128
"No asiste (030)",635,93,43,70,429
"Mujeres (032)",1443,203,394,334,512
"Asiste actualmente (033)",886,123,360,281,122
"No asiste (034)",557,80,34,53,390
