"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PUNO (000)",205533,16578,33733,7080,148505
"Hombres (001)",100903,7971,16231,4490,72455
"Mujeres (002)",104630,8607,17502,2590,76050
"PEA (003)",99739,2896,17284,3716,76108
"Hombres (004)",56504,1288,9275,2771,43370
"Mujeres (005)",43235,1608,8009,945,32738
"Ocupada (006)",93680,2775,16877,3630,70662
"Hombres (007)",52386,1227,9067,2721,39570
"Mujeres (008)",41294,1548,7810,909,31092
"Desocupada (009)",6059,121,407,86,5446
"Hombres (010)",4118,61,208,50,3800
"Mujeres (011)",1941,60,199,36,1646
"No PEA (012)",105794,13682,16449,3364,72397
"Hombres (013)",44399,6683,6956,1719,29085
"Mujeres (014)",61395,6999,9493,1645,43312
,,,,,
"URBANA (018)",122973,7402,31076,6166,78671
"Hombres (019)",60125,3413,14793,3905,38249
"Mujeres (020)",62848,3989,16283,2261,40422
"PEA (021)",57630,1682,15990,3309,36907
"Hombres (022)",32451,779,8447,2461,20957
"Mujeres (023)",25179,903,7543,848,15950
"Ocupada (024)",53800,1597,15611,3236,33613
"Hombres (025)",30155,739,8261,2420,18927
"Mujeres (026)",23645,858,7350,816,14686
"Desocupada (027)",3830,85,379,73,3294
"Hombres (028)",2296,40,186,41,2030
"Mujeres (029)",1534,45,193,32,1264
"No PEA (030)",65343,5720,15086,2857,41764
"Hombres (031)",27674,2634,6346,1444,17292
"Mujeres (032)",37669,3086,8740,1413,24472
,,,,,
"RURAL (036)",82560,9176,2657,914,69834
"Hombres (037)",40778,4558,1438,585,34206
"Mujeres (038)",41782,4618,1219,329,35628
"PEA (039)",42109,1214,1294,407,39201
"Hombres (040)",24053,509,828,310,22413
"Mujeres (041)",18056,705,466,97,16788
"Ocupada (042)",39880,1178,1266,394,37049
"Hombres (043)",22231,488,806,301,20643
"Mujeres (044)",17649,690,460,93,16406
"Desocupada (045)",2229,36,28,13,2152
"Hombres (046)",1822,21,22,9,1770
"Mujeres (047)",407,15,6,4,382
"No PEA (048)",40451,7962,1363,507,30633
"Hombres (049)",16725,4049,610,275,11793
"Mujeres (050)",23726,3913,753,232,18840
