"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6452,87,2206,2276,1586,297
"Agric., ganadería, caza y silvicultura (001)",658,4,151,199,195,109
"Pesca (002)",1510,24,643,499,312,32
"Explotación de minas y canteras (003)",14,,3,5,4,2
"Industrias manufactureras (004)",278,8,104,84,65,17
"Suministro de electricidad, gas y agua (005)",36,,10,13,12,1
"Construcción (006)",434,,149,180,96,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",743,21,184,284,209,45
"Venta, mant.y rep. veh.autom.y motoc. (008)",79,2,28,32,16,1
"Comercio al por mayor (009)",35,,11,13,9,2
"Comercio al por menor (010)",629,19,145,239,184,42
"Hoteles y restaurantes (011)",388,9,143,115,109,12
"Trans., almac. y comunicaciones (012)",533,4,218,170,134,7
"Intermediación financiera (013)",11,,4,6,1,
"Activid.inmobil., empres. y alquileres (014)",233,,77,84,65,7
"Admin.pub. y defensa; p. segur.soc afil (015)",368,,125,139,92,12
"Enseñanza (016)",318,,35,180,102,1
"Servicios sociales y de salud (017)",60,,19,23,17,1
"Otras activ. serv.comun.soc y personales (018)",260,7,92,92,53,16
"Hogares privados con servicio doméstico (019)",115,5,48,39,18,5
"Actividad economica no especificada (021)",156,,54,49,41,12
"Desocupado (022)",337,5,147,115,61,9
"Hombres (023)",4917,64,1704,1657,1244,248
"Agric., ganadería, caza y silvicultura (024)",610,2,142,187,176,103
"Pesca (025)",1489,24,630,496,308,31
"Explotación de minas y canteras (026)",14,,3,5,4,2
"Industrias manufactureras (027)",191,6,70,55,45,15
"Suministro de electricidad, gas y agua (028)",35,,9,13,12,1
"Construcción (029)",422,,141,177,95,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",434,15,120,138,131,30
"Venta, mant.y rep. veh.autom.y motoc. (031)",73,2,26,29,15,1
"Comercio al por mayor (032)",25,,8,10,5,2
"Comercio al por menor (033)",336,13,86,99,111,27
"Hoteles y restaurantes (034)",143,5,55,36,41,6
"Trans., almac. y comunicaciones (035)",508,4,205,161,131,7
"Intermediación financiera (036)",5,,3,1,1,
"Activid.inmobil., empres. y alquileres (037)",166,,51,58,50,7
"Admin.pub. y defensa; p. segur.soc afil (038)",209,,52,82,68,7
"Enseñanza (039)",134,,10,69,54,1
"Servicios sociales y de salud (040)",27,,8,6,12,1
