"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CUSCO (000)",154514,101703,16808,16179,19824
"Sin nivel (001)",3257,3006,158,61,32
"Educación inicial (002)",117,98,12,5,2
"Primaria (003)",18860,16640,1338,504,378
"Secundaria (004)",56571,44723,5301,3460,3087
"Superior no univ. incompleta (005)",13013,8562,1753,1370,1328
"Superior no univ. completa (006)",17163,8726,2483,2980,2974
"Superior univ. incompleta (007)",14206,8218,1716,1748,2524
"Superior univ. completa (008)",31327,11730,4047,6051,9499
"De 06 a 14 años (010)",2412,2180,177,44,11
"Sin nivel (011)",33,31,,2,
"Educación inicial (012)",21,17,2,2,
"Primaria (013)",1312,1198,92,17,5
"Secundaria (014)",1046,934,83,23,6
"De 15 a 29 años (020)",53225,36307,7028,5373,4517
"Sin nivel (021)",248,206,23,13,6
"Educación inicial (022)",59,50,6,2,1
"Primaria (023)",3353,2911,295,98,49
"Secundaria (024)",24221,19026,2771,1528,896
"Superior no univ. incompleta (025)",7160,4781,1087,788,504
"Superior no univ. completa (026)",6364,3449,1056,1036,823
"Superior univ. incompleta (027)",5527,3301,829,744,653
"Superior univ. completa (028)",6293,2583,961,1164,1585
"De 30 a 44 años (030)",58106,36009,6141,7013,8943
"Sin nivel (031)",625,554,47,17,7
"Educación inicial (032)",37,31,4,1,1
"Primaria (033)",5693,4976,430,166,121
"Secundaria (034)",19462,15445,1588,1218,1211
"Superior no univ. incompleta (035)",4248,2746,499,449,554
"Superior no univ. completa (036)",7907,3959,1072,1400,1476
"Superior univ. incompleta (037)",5033,2798,533,633,1069
"Superior univ. completa (038)",15101,5500,1968,3129,4504
"De 45 a 64 años (040)",35534,22823,3122,3524,6065
"Sin nivel (041)",1378,1295,54,17,12
"Primaria (043)",6511,5741,421,182,167
"Secundaria (044)",10687,8330,782,657,918
"Superior no univ. incompleta (045)",1490,950,150,128,262
"Superior no univ. completa (046)",2729,1214,335,520,660
"Superior univ. incompleta (047)",3468,1998,337,354,779
"Superior univ. completa (048)",9271,3295,1043,1666,3267
"De 65 y más años (050)",5237,4384,340,225,288
"Sin nivel (051)",973,920,34,12,7
"Primaria (053)",1991,1814,100,41,36
"Secundaria (054)",1155,988,77,34,56
