"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LAMBAYEQUE (000)",224313,54815,68749,46829,37075,16845
"Sin nivel (001)",17770,1902,1678,3055,5478,5657
"Educación inicial (002)",4231,4021,130,80,,
"Primaria (003)",104376,39994,19074,18690,17721,8897
"Secundaria (004)",66430,8898,33371,15178,7809,1174
"Superior no univ. incompleta (005)",7558,,4672,1883,845,158
"Superior no univ. completa (006)",9779,,3160,3991,2258,370
"Superior univ. incompleta (007)",6209,,4607,908,582,112
"Superior univ. completa (008)",7960,,2057,3044,2382,477
"PEA (010)",83738,1727,29337,27312,20420,4942
"Sin nivel (011)",4508,129,565,1013,1668,1133
"Educación inicial (012)",94,20,44,30,,
"Primaria (013)",31085,1231,8420,8950,9370,3114
"Secundaria (014)",29514,347,13553,10130,5116,368
"Superior no univ. incompleta (015)",3613,,1700,1283,568,62
"Superior no univ. completa (016)",6632,,2199,2863,1484,86
"Superior univ. incompleta (017)",2437,,1385,608,403,41
"Superior univ. completa (018)",5855,,1471,2435,1811,138
"Ocupada (020)",78453,1530,26701,26081,19486,4655
"Sin nivel (021)",4243,102,518,963,1596,1064
"Educación inicial (022)",82,19,35,28,,
"Primaria (023)",29132,1088,7741,8501,8879,2923
"Secundaria (024)",27479,321,12286,9665,4856,351
"Superior no univ. incompleta (025)",3425,,1567,1249,549,60
"Superior no univ. completa (026)",6297,,2005,2756,1451,85
"Superior univ. incompleta (027)",2271,,1250,586,397,38
