"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PASCO (000)",3569,1079,2490
"Sin nivel (001)",137,25,112
"Educación inicial (002)",7,2,5
"Primaria (003)",493,102,391
"Secundaria (004)",1796,600,1196
"Superior no univ. incompleta (005)",190,59,131
"Superior no univ. completa (006)",264,88,176
"Superior univ. incompleta (007)",177,48,129
"Superior univ. completa (008)",505,155,350
"De 14 a 29 años (010)",2095,887,1208
"Sin nivel (011)",41,18,23
"Educación inicial (012)",4,1,3
"Primaria (013)",158,61,97
"Secundaria (014)",1170,516,654
"Superior no univ. incompleta (015)",123,46,77
"Superior no univ. completa (016)",176,74,102
"Superior univ. incompleta (017)",116,43,73
"Superior univ. completa (018)",307,128,179
"De 30 a 44 años (020)",1008,159,849
"Sin nivel (021)",44,5,39
"Educación inicial (022)",3,1,2
"Primaria (023)",158,28,130
"Secundaria (024)",456,70,386
"Superior no univ. incompleta (025)",58,12,46
"Superior no univ. completa (026)",81,13,68
"Superior univ. incompleta (027)",50,5,45
"Superior univ. completa (028)",158,25,133
"De 45 a 64 años (030)",402,33,369
"Sin nivel (031)",36,2,34
"Primaria (033)",143,13,130
"Secundaria (034)",160,14,146
"Superior no univ. incompleta (035)",8,1,7
"Superior no univ. completa (036)",7,1,6
"Superior univ. incompleta (037)",10,,10
"Superior univ. completa (038)",38,2,36
"De 65 y más años (040)",64,,64
"Sin nivel (041)",16,,16
"Primaria (043)",34,,34
"Secundaria (044)",10,,10
"Superior no univ. incompleta (045)",1,,1
"Superior univ. incompleta (047)",1,,1
"Superior univ. completa (048)",2,,2
,,,
"AREA URBANA (050)",2794,782,2012
"Sin nivel (051)",84,17,67
"Educación inicial (052)",4,2,2
"Primaria (053)",323,57,266
"Secundaria (054)",1331,389,942
"Superior no univ. incompleta (055)",166,49,117
"Superior no univ. completa (056)",245,79,166
"Superior univ. incompleta (057)",164,44,120
"Superior univ. completa (058)",477,145,332
"De 14 a 29 años (060)",1580,631,949
"Sin nivel (061)",19,10,9
"Educación inicial (062)",3,1,2
"Primaria (063)",83,28,55
"Secundaria (064)",814,329,485
"Superior no univ. incompleta (065)",104,39,65
"Superior no univ. completa (066)",162,67,95
"Superior univ. incompleta (067)",106,39,67
"Superior univ. completa (068)",289,118,171
"De 30 a 44 años (070)",828,126,702
"Sin nivel (071)",27,5,22
"Educación inicial (072)",1,1,
"Primaria (073)",104,20,84
"Secundaria (074)",369,49,320
"Superior no univ. incompleta (075)",54,10,44
"Superior no univ. completa (076)",77,11,66
"Superior univ. incompleta (077)",48,5,43
"Superior univ. completa (078)",148,25,123
"De 45 a 64 años (080)",335,25,310
"Sin nivel (081)",26,2,24
"Primaria (083)",111,9,102
"Secundaria (084)",138,11,127
"Superior no univ. incompleta (085)",7,,7
"Superior no univ. completa (086)",6,1,5
"Superior univ. incompleta (087)",9,,9
"Superior univ. completa (088)",38,2,36
"De 65 y más años (090)",51,,51
"Sin nivel (091)",12,,12
"Primaria (093)",25,,25
"Secundaria (094)",10,,10
"Superior no univ. incompleta (095)",1,,1
"Superior univ. incompleta (097)",1,,1
"Superior univ. completa (098)",2,,2
,,,
"AREA RURAL (100)",775,297,478
"Sin nivel (101)",53,8,45
"Educación inicial (102)",3,,3
"Primaria (103)",170,45,125
"Secundaria (104)",465,211,254
"Superior no univ. incompleta (105)",24,10,14
"Superior no univ. completa (106)",19,9,10
"Superior univ. incompleta (107)",13,4,9
"Superior univ. completa (108)",28,10,18
"De 14 a 29 años (110)",515,256,259
"Sin nivel (111)",22,8,14
"Educación inicial (112)",1,,1
"Primaria (113)",75,33,42
"Secundaria (114)",356,187,169
"Superior no univ. incompleta (115)",19,7,12
"Superior no univ. completa (116)",14,7,7
"Superior univ. incompleta (117)",10,4,6
"Superior univ. completa (118)",18,10,8
"De 30 a 44 años (120)",180,33,147
"Sin nivel (121)",17,,17
"Educación inicial (122)",2,,2
"Primaria (123)",54,8,46
"Secundaria (124)",87,21,66
"Superior no univ. incompleta (125)",4,2,2
"Superior no univ. completa (126)",4,2,2
"Superior univ. incompleta (127)",2,,2
"Superior univ. completa (128)",10,,10
"De 45 a 64 años (130)",67,8,59
"Sin nivel (131)",10,,10
"Primaria (133)",32,4,28
"Secundaria (134)",22,3,19
"Superior no univ. incompleta (135)",1,1,
"Superior no univ. completa (136)",1,,1
"Superior univ. incompleta (137)",1,,1
"De 65 y más años (140)",13,,13
"Sin nivel (141)",4,,4
"Primaria (143)",9,,9
