"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia JULCAN (000)",9474,8958,8163,335,460,516,14,58,434,10
"Casa independiente (001)",9347,8838,8060,332,446,509,14,58,427,10
"Vivienda en casa de vecindad (004)",7,7,7,,,,,,,
"Choza o cabaña (005)",120,113,96,3,14,7,,,7,
,,,,,,,,,,
"URBANA (009)",1647,1518,1356,126,36,129,11,27,88,3
"Casa independiente (010)",1640,1511,1349,126,36,129,11,27,88,3
"Vivienda en casa de vecindad (013)",7,7,7,,,,,,,
,,,,,,,,,,
"RURAL (018)",7827,7440,6807,209,424,387,3,31,346,7
"Casa independiente (019)",7707,7327,6711,206,410,380,3,31,339,7
"Choza o cabaña (023)",120,113,96,3,14,7,,,7,
