"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ACOBAMBA (000)",14921,123,5966,4745,1242,442,200,85,18,,2100
"Sin Nivel (001)",5638,50,2179,1905,541,222,112,55,15,,559
"Educación Inicial (002)",37,,17,9,2,,,,,,9
"Primaria (003)",6146,58,2787,1912,412,129,60,24,2,,762
"Secundaria (004)",2299,12,893,680,150,47,14,,1,,502
"Sup. no Univ. Incompleta (005)",163,,29,51,16,5,3,1,,,58
"Sup. no Univ. Completa (006)",243,1,21,82,51,17,1,2,,,68
"Sup. Univ. Incompleta (007)",118,,12,33,6,4,,,,,63
"Sup. Univ. Completa (008)",277,2,28,73,64,18,10,3,,,79
,,,,,,,,,,,
"URBANA (010)",4851,30,1674,1436,523,201,89,48,5,,845
"Sin Nivel (011)",1178,5,430,342,129,65,27,25,3,,152
"Educación Inicial (012)",15,,5,4,1,,,,,,5
"Primaria (013)",1873,17,772,568,174,70,37,17,1,,217
"Secundaria (014)",1130,5,400,333,96,27,11,,1,,257
"Sup. no Univ. Incompleta (015)",122,,21,35,15,5,3,1,,,42
"Sup. no Univ. Completa (016)",201,1,17,66,46,15,1,2,,,53
"Sup. Univ. Incompleta (017)",96,,8,28,6,3,,,,,51
"Sup. Univ. Completa (018)",236,2,21,60,56,16,10,3,,,68
,,,,,,,,,,,
"RURAL (020)",10070,93,4292,3309,719,241,111,37,13,,1255
"Sin Nivel (021)",4460,45,1749,1563,412,157,85,30,12,,407
"Educación Inicial (022)",22,,12,5,1,,,,,,4
"Primaria (023)",4273,41,2015,1344,238,59,23,7,1,,545
"Secundaria (024)",1169,7,493,347,54,20,3,,,,245
"Sup. no Univ. Incompleta (025)",41,,8,16,1,,,,,,16
"Sup. no Univ. Completa (026)",42,,4,16,5,2,,,,,15
"Sup. Univ. Incompleta (027)",22,,4,5,,1,,,,,12
"Sup. Univ. Completa (028)",41,,7,13,8,2,,,,,11
