"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ASUNCION (000)",9054,2470,1040,189,5365
"Menos de 1 año (001)",154,93,17,1,43
"De 1 a 14 años (002)",3067,1906,438,59,664
"De 15 a 29 años (003)",2021,345,150,44,1484
"De 30 a 44 años (004)",1565,63,318,53,1134
"De 45 a 64 años (005)",1343,27,88,24,1209
"De 65 y mas años (006)",904,36,29,8,831
"Hombres (008)",4400,1250,563,121,2475
"Menos de 1 año (009)",88,52,10,1,25
"De 1 a 14 años (010)",1588,987,231,33,337
"De 15 a 29 años (011)",1007,165,71,35,738
"De 30 a 44 años (012)",740,20,170,33,520
"De 45 a 64 años (013)",603,14,61,15,517
"De 65 y mas años (014)",374,12,20,4,338
"Mujeres (016)",4654,1220,477,68,2890
"Menos de 1 año (017)",66,41,7,,18
"De 1 a 14 años (018)",1479,919,207,26,327
"De 15 a 29 años (019)",1014,180,79,9,746
"De 30 a 44 años (020)",825,43,148,20,614
"De 45 a 64 años (021)",740,13,27,9,692
"De 65 y mas años (022)",530,24,9,4,493
,,,,,
"URBANA (024)",2302,352,653,145,1161
"Menos de 1 año (025)",47,12,9,1,25
"De 1 a 14 años (026)",824,269,261,44,250
"De 15 a 29 años (027)",520,49,85,38,350
"De 30 a 44 años (028)",527,14,224,40,251
"De 45 a 64 años (029)",243,1,59,17,171
"De 65 y mas años (030)",141,7,15,5,114
"Hombres (032)",1168,182,347,96,551
"Menos de 1 año (033)",26,6,6,1,13
"De 1 a 14 años (034)",445,146,144,28,127
"De 15 a 29 años (035)",259,21,37,31,172
"De 30 a 44 años (036)",252,5,111,24,114
"De 45 a 64 años (037)",129,1,40,10,82
"De 65 y mas años (038)",57,3,9,2,43
"Mujeres (040)",1134,170,306,49,610
"Menos de 1 año (041)",21,6,3,,12
"De 1 a 14 años (042)",379,123,117,16,123
"De 15 a 29 años (043)",261,28,48,7,178
"De 30 a 44 años (044)",275,9,113,16,137
"De 45 a 64 años (045)",114,,19,7,89
"De 65 y mas años (046)",84,4,6,3,71
,,,,,
"RURAL (048)",6752,2118,387,44,4204
"Menos de 1 año (049)",107,81,8,,18
"De 1 a 14 años (050)",2243,1637,177,15,414
"De 15 a 29 años (051)",1501,296,65,6,1134
"De 30 a 44 años (052)",1038,49,94,13,883
"De 45 a 64 años (053)",1100,26,29,7,1038
"De 65 y mas años (054)",763,29,14,3,717
"Hombres (056)",3232,1068,216,25,1924
"Menos de 1 año (057)",62,46,4,,12
"De 1 a 14 años (058)",1143,841,87,5,210
"De 15 a 29 años (059)",748,144,34,4,566
"De 30 a 44 años (060)",488,15,59,9,406
"De 45 a 64 años (061)",474,13,21,5,435
"De 65 y mas años (062)",317,9,11,2,295
"Mujeres (064)",3520,1050,171,19,2280
"Menos de 1 año (065)",45,35,4,,6
"De 1 a 14 años (066)",1100,796,90,10,204
"De 15 a 29 años (067)",753,152,31,2,568
"De 30 a 44 años (068)",550,34,35,4,477
"De 45 a 64 años (069)",626,13,8,2,603
"De 65 y mas años (070)",446,20,3,1,422
