"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CANAS (000)",18716,3097,6332,4937,4350
"Asiste actualmente (001)",13943,1462,6048,4668,1765
"No asiste (002)",4773,1635,284,269,2585
"Hombres (004)",9688,1601,3289,2592,2206
"Asiste actualmente (005)",7485,769,3144,2496,1076
"No asiste (006)",2203,832,145,96,1130
"Mujeres (008)",9028,1496,3043,2345,2144
"Asiste actualmente (009)",6458,693,2904,2172,689
"No asiste (010)",2570,803,139,173,1455
,,,,,
"URBANA (012)",2961,413,937,793,818
"Asiste actualmente (013)",2309,194,916,762,437
"No asiste (014)",652,219,21,31,381
"Hombres (016)",1528,204,494,410,420
"Asiste actualmente (017)",1232,104,484,398,246
"No asiste (018)",296,100,10,12,174
"Mujeres (020)",1433,209,443,383,398
"Asiste actualmente (021)",1077,90,432,364,191
"No asiste (022)",356,119,11,19,207
,,,,,
"RURAL (024)",15755,2684,5395,4144,3532
"Asiste actualmente (025)",11634,1268,5132,3906,1328
"No asiste (026)",4121,1416,263,238,2204
"Hombres (028)",8160,1397,2795,2182,1786
"Asiste actualmente (029)",6253,665,2660,2098,830
"No asiste (030)",1907,732,135,84,956
"Mujeres (032)",7595,1287,2600,1962,1746
"Asiste actualmente (033)",5381,603,2472,1808,498
"No asiste (034)",2214,684,128,154,1248
