"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LIMA (000)",7231601,260761,1268197,1480754,1369588,1063696,774900,499385,514320
"Quechua (001)",456225,549,8520,58661,75483,80704,83342,71281,77685
"Aymara (002)",25898,174,728,3315,5011,5216,5123,3811,2520
"Ashaninca (003)",1750,35,324,402,346,249,168,103,123
"Otra lengua nativa (004)",4651,164,798,1100,911,698,477,260,243
"Castellano (005)",6725320,259435,1255500,1414795,1284859,973999,683429,422077,431226
"Idioma extranjero (006)",12692,235,1158,1318,2040,2173,1920,1614,2234
"Es sordomudo/a (007)",5065,169,1169,1163,938,657,441,239,289
"Hombres (009)",3522483,133434,644819,726824,665362,509256,365025,239575,238188
"Quechua (010)",210382,231,3789,26330,35214,37542,37612,33677,35987
"Aymara (011)",12519,97,361,1553,2403,2451,2393,1889,1372
"Ashaninca (012)",851,22,173,179,161,125,81,53,57
"Otra lengua nativa (013)",2321,89,395,541,463,334,234,140,125
"Castellano (014)",3287117,132781,638866,696897,625595,467291,323386,202830,199471
"Idioma extranjero (015)",6559,120,583,643,1023,1180,1100,862,1048
"Es sordomudo/a (016)",2734,94,652,681,503,333,219,124,128
"Mujeres (018)",3709118,127327,623378,753930,704226,554440,409875,259810,276132
"Quechua (019)",245843,318,4731,32331,40269,43162,45730,37604,41698
"Aymara (020)",13379,77,367,1762,2608,2765,2730,1922,1148
"Ashaninca (021)",899,13,151,223,185,124,87,50,66
"Otra lengua nativa (022)",2330,75,403,559,448,364,243,120,118
"Castellano (023)",3438203,126654,616634,717898,659264,506708,360043,219247,231755
"Idioma extranjero (024)",6133,115,575,675,1017,993,820,752,1186
"Es sordomudo/a (025)",2331,75,517,482,435,324,222,115,161
,,,,,,,,,
"URBANA (027)",7222488,260323,1266309,1478814,1367919,1062433,774136,498799,513755
"Quechua (028)",454781,542,8453,58453,75178,80433,83130,71097,77495
"Aymara (029)",25879,174,725,3314,5005,5214,5121,3809,2517
"Ashaninca (030)",1750,35,324,402,346,249,168,103,123
"Otra lengua nativa (031)",4650,164,798,1100,911,698,477,259,243
"Castellano (032)",6717684,259006,1253686,1413065,1283503,973010,682879,421679,430856
"Idioma extranjero (033)",12689,235,1158,1318,2040,2173,1920,1613,2232
"Es sordomudo/a (034)",5055,167,1165,1162,936,656,441,239,289
"Hombres (036)",3517657,133214,643867,725797,664470,508557,364623,239260,237869
"Quechua (037)",209638,228,3763,26232,35054,37386,37496,33586,35893
"Aymara (038)",12507,97,358,1553,2399,2450,2392,1887,1371
"Ashaninca (039)",851,22,173,179,161,125,81,53,57
"Otra lengua nativa (040)",2320,89,395,541,463,334,234,139,125
"Castellano (041)",3283055,132566,637945,695969,624868,466749,323101,202609,199248
"Idioma extranjero (042)",6558,120,583,643,1023,1180,1100,862,1047
"Es sordomudo/a (043)",2728,92,650,680,502,333,219,124,128
"Mujeres (045)",3704831,127109,622442,753017,703449,553876,409513,259539,275886
"Quechua (046)",245143,314,4690,32221,40124,43047,45634,37511,41602
"Aymara (047)",13372,77,367,1761,2606,2764,2729,1922,1146
"Ashaninca (048)",899,13,151,223,185,124,87,50,66
"Otra lengua nativa (049)",2330,75,403,559,448,364,243,120,118
"Castellano (050)",3434629,126440,615741,717096,658635,506261,359778,219070,231608
"Idioma extranjero (051)",6131,115,575,675,1017,993,820,751,1185
"Es sordomudo/a (052)",2327,75,515,482,434,323,222,115,161
,,,,,,,,,
"RURAL (054)",9113,438,1888,1940,1669,1263,764,586,565
"Quechua (055)",1444,7,67,208,305,271,212,184,190
"Aymara (056)",19,,3,1,6,2,2,2,3
"Otra lengua nativa (058)",1,,,,,,,1,
"Castellano (059)",7636,429,1814,1730,1356,989,550,398,370
"Idioma extranjero (060)",3,,,,,,,1,2
"Es sordomudo/a (061)",10,2,4,1,2,1,,,
"Hombres (063)",4826,220,952,1027,892,699,402,315,319
"Quechua (064)",744,3,26,98,160,156,116,91,94
"Aymara (065)",12,,3,,4,1,1,2,1
"Otra lengua nativa (067)",1,,,,,,,1,
"Castellano (068)",4062,215,921,928,727,542,285,221,223
"Idioma extranjero (069)",1,,,,,,,,1
"Es sordomudo/a (070)",6,2,2,1,1,,,,
"Mujeres (072)",4287,218,936,913,777,564,362,271,246
"Quechua (073)",700,4,41,110,145,115,96,93,96
"Aymara (074)",7,,,1,2,1,1,,2
"Castellano (077)",3574,214,893,802,629,447,265,177,147
"Idioma extranjero (078)",2,,,,,,,1,1
"Es sordomudo/a (079)",4,,2,,1,1,,,
