"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUARI (000)",58721,12249,6279,1729,39325
"Sin Nivel (001)",12801,2278,378,93,10055
"Educación Inicial (002)",1704,924,132,25,624
"Primaria (003)",22644,6467,1045,252,14902
"Secundaria (004)",14077,2310,1474,359,10063
"Sup. no Univ. Incompleta (005)",2048,82,504,148,1410
"Sup. no Univ. Completa (006)",3262,92,1630,415,1425
"Sup. Univ. Incompleta (007)",664,24,280,128,339
"Sup. Univ. Completa (008)",1521,72,836,309,507
"Hombres (010)",30161,5966,4188,1376,19453
"Sin Nivel (011)",4260,1041,160,45,3016
"Educación Inicial (012)",825,454,71,14,286
"Primaria (013)",11613,3174,538,145,7775
"Secundaria (014)",8436,1147,1001,283,6132
"Sup. no Univ. Incompleta (015)",1355,38,413,133,866
"Sup. no Univ. Completa (016)",2151,52,1158,379,857
"Sup. Univ. Incompleta (017)",474,16,231,124,209
"Sup. Univ. Completa (018)",1047,44,616,253,312
"Mujeres (020)",28560,6283,2091,353,19872
"Sin Nivel (021)",8541,1237,218,48,7039
"Educación Inicial (022)",879,470,61,11,338
"Primaria (023)",11031,3293,507,107,7127
"Secundaria (024)",5641,1163,473,76,3931
"Sup. no Univ. Incompleta (025)",693,44,91,15,544
"Sup. no Univ. Completa (026)",1111,40,472,36,568
"Sup. Univ. Incompleta (027)",190,8,49,4,130
"Sup. Univ. Completa (028)",474,28,220,56,195
,,,,,
"URBANA (030)",20992,3890,3428,611,13092
"Sin Nivel (031)",3013,639,250,54,2071
"Educación Inicial (032)",577,258,105,13,202
"Primaria (033)",7109,1867,753,142,4354
"Secundaria (034)",5965,942,781,156,4090
"Sup. no Univ. Incompleta (035)",1067,48,159,40,821
"Sup. no Univ. Completa (036)",1868,60,837,100,878
"Sup. Univ. Incompleta (037)",384,18,92,17,257
"Sup. Univ. Completa (038)",1009,58,451,89,419
"Hombres (040)",10585,1918,1725,391,6569
"Sin Nivel (041)",980,310,98,27,546
"Educación Inicial (042)",279,125,56,8,90
"Primaria (043)",3474,924,350,79,2125
"Secundaria (044)",3339,462,377,100,2402
"Sup. no Univ. Incompleta (045)",629,20,85,27,498
"Sup. no Univ. Completa (046)",1042,32,434,75,505
"Sup. Univ. Incompleta (047)",221,12,46,14,149
"Sup. Univ. Completa (048)",621,33,279,61,254
"Mujeres (050)",10407,1972,1703,220,6523
"Sin Nivel (051)",2033,329,152,27,1525
"Educación Inicial (052)",298,133,49,5,112
"Primaria (053)",3635,943,403,63,2229
"Secundaria (054)",2626,480,404,56,1688
"Sup. no Univ. Incompleta (055)",438,28,74,13,323
"Sup. no Univ. Completa (056)",826,28,403,25,373
"Sup. Univ. Incompleta (057)",163,6,46,3,108
"Sup. Univ. Completa (058)",388,25,172,28,165
,,,,,
"RURAL (060)",37729,8359,2851,1118,26233
"Sin Nivel (061)",9788,1639,128,39,7984
"Educación Inicial (062)",1127,666,27,12,422
"Primaria (063)",15535,4600,292,110,10548
"Secundaria (064)",8112,1368,693,203,5973
"Sup. no Univ. Incompleta (065)",981,34,345,108,589
"Sup. no Univ. Completa (066)",1394,32,793,315,547
"Sup. Univ. Incompleta (067)",280,6,188,111,82
"Sup. Univ. Completa (068)",512,14,385,220,88
"Hombres (070)",19576,4048,2463,985,12884
"Sin Nivel (071)",3280,731,62,18,2470
"Educación Inicial (072)",546,329,15,6,196
"Primaria (073)",8139,2250,188,66,5650
"Secundaria (074)",5097,685,624,183,3730
"Sup. no Univ. Incompleta (075)",726,18,328,106,368
"Sup. no Univ. Completa (076)",1109,20,724,304,352
"Sup. Univ. Incompleta (077)",253,4,185,110,60
"Sup. Univ. Completa (078)",426,11,337,192,58
"Mujeres (080)",18153,4311,388,133,13349
"Sin Nivel (081)",6508,908,66,21,5514
"Educación Inicial (082)",581,337,12,6,226
"Primaria (083)",7396,2350,104,44,4898
"Secundaria (084)",3015,683,69,20,2243
"Sup. no Univ. Incompleta (085)",255,16,17,2,221
"Sup. no Univ. Completa (086)",285,12,69,11,195
"Sup. Univ. Incompleta (087)",27,2,3,1,22
"Sup. Univ. Completa (088)",86,3,48,28,30
