"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ALTO AMAZONAS (000)",86049,6901,1096,47059,23297,2009,2312,1209,2166
"Hombres (001)",44009,2186,544,23794,13066,1176,1225,727,1291
"Mujeres (002)",42040,4715,552,23265,10231,833,1087,482,875
"PEA (003)",34644,2166,41,15943,10897,1213,1815,767,1802
"Hombres (004)",24678,1362,25,11684,8054,843,1048,531,1131
"Mujeres (005)",9966,804,16,4259,2843,370,767,236,671
"Ocupada (006)",33372,2094,38,15421,10411,1164,1749,737,1758
"Hombres (007)",23727,1310,23,11277,7688,811,1003,508,1107
"Mujeres (008)",9645,784,15,4144,2723,353,746,229,651
"Desocupada (009)",1272,72,3,522,486,49,66,30,44
"Hombres (010)",951,52,2,407,366,32,45,23,24
"Mujeres (011)",321,20,1,115,120,17,21,7,20
"No PEA (012)",51405,4735,1055,31116,12400,796,497,442,364
"Hombres (013)",19331,824,519,12110,5012,333,177,196,160
"Mujeres (014)",32074,3911,536,19006,7388,463,320,246,204
,,,,,,,,,
"URBANA (018)",53196,1714,635,24632,19021,1866,2145,1143,2040
"Hombres (019)",26528,487,318,11599,10064,1064,1116,677,1203
"Mujeres (020)",26668,1227,317,13033,8957,802,1029,466,837
"PEA (021)",22764,575,29,8278,8699,1111,1661,719,1692
"Hombres (022)",14710,233,18,5193,6030,755,942,489,1050
"Mujeres (023)",8054,342,11,3085,2669,356,719,230,642
"Ocupada (024)",21840,549,26,7974,8288,1068,1596,690,1649
"Hombres (025)",14059,213,16,4979,5733,727,898,467,1026
"Mujeres (026)",7781,336,10,2995,2555,341,698,223,623
"Desocupada (027)",924,26,3,304,411,43,65,29,43
"Hombres (028)",651,20,2,214,297,28,44,22,24
"Mujeres (029)",273,6,1,90,114,15,21,7,19
"No PEA (030)",30432,1139,606,16354,10322,755,484,424,348
"Hombres (031)",11818,254,300,6406,4034,309,174,188,153
"Mujeres (032)",18614,885,306,9948,6288,446,310,236,195
,,,,,,,,,
"RURAL (036)",32853,5187,461,22427,4276,143,167,66,126
"Hombres (037)",17481,1699,226,12195,3002,112,109,50,88
"Mujeres (038)",15372,3488,235,10232,1274,31,58,16,38
"PEA (039)",11880,1591,12,7665,2198,102,154,48,110
"Hombres (040)",9968,1129,7,6491,2024,88,106,42,81
"Mujeres (041)",1912,462,5,1174,174,14,48,6,29
"Ocupada (042)",11532,1545,12,7447,2123,96,153,47,109
"Hombres (043)",9668,1097,7,6298,1955,84,105,41,81
"Mujeres (044)",1864,448,5,1149,168,12,48,6,28
"Desocupada (045)",348,46,,218,75,6,1,1,1
"Hombres (046)",300,32,,193,69,4,1,1,
"Mujeres (047)",48,14,,25,6,2,,,1
"No PEA (048)",20973,3596,449,14762,2078,41,13,18,16
"Hombres (049)",7513,570,219,5704,978,24,3,8,7
"Mujeres (050)",13460,3026,230,9058,1100,17,10,10,9
