"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia OCROS",,,,,,,,,
"Viviendas particulares (001)",2513,618,885,469,301,116,68,29,27
"Ocupantes presentes (002)",9130,1835,3191,1854,1212,484,295,153,106
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",2419,565,857,460,297,116,68,29,27
"Ocupantes presentes (005)",8804,1666,3085,1817,1198,484,295,153,106
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",3,3,,,,,,,
"Ocupantes presentes (008)",8,8,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",9,3,2,3,1,,,,
"Ocupantes presentes (014)",44,21,14,6,3,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",79,45,25,6,3,,,,
"Ocupantes presentes (017)",268,135,91,31,11,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,1,1,,,,,,
"Ocupantes presentes (023)",2,1,1,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",1,1,,,,,,,
"Ocupantes presentes (026)",4,4,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1420,360,496,242,175,67,42,21,17
"Ocupantes presentes (029)",5236,1094,1854,971,697,275,176,103,66
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1408,354,494,239,174,67,42,21,17
"Ocupantes presentes (032)",5184,1065,1840,965,694,275,176,103,66
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",3,3,,,,,,,
"Ocupantes presentes (035)",8,8,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",9,3,2,3,1,,,,
"Ocupantes presentes (041)",44,21,14,6,3,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1093,258,389,227,126,49,26,8,10
"Ocupantes presentes (056)",3894,741,1337,883,515,209,119,50,40
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1011,211,363,221,123,49,26,8,10
"Ocupantes presentes (059)",3620,601,1245,852,504,209,119,50,40
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",79,45,25,6,3,,,,
"Ocupantes presentes (071)",268,135,91,31,11,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",2,1,1,,,,,,
"Ocupantes presentes (077)",2,1,1,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,,
"Ocupantes presentes (080)",4,4,,,,,,,
