"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia SANTA CRUZ",,,,,,
"Viviendas particulares (001)",10846,10740,99,6,1,
"Ocupantes presentes (002)",43553,42721,742,77,13,
"Casa independiente",,,,,,
"Viviendas particulares (004)",10425,10324,94,6,1,
"Ocupantes presentes (005)",41928,41148,690,77,13,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",5,5,,,,
"Ocupantes presentes (008)",23,23,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",11,10,1,,,
"Ocupantes presentes (011)",40,34,6,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",6,5,1,,,
"Ocupantes presentes (014)",29,7,22,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",390,387,3,,,
"Ocupantes presentes (017)",1512,1488,24,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",1,1,,,,
"Ocupantes presentes (020)",1,1,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",7,7,,,,
"Ocupantes presentes (023)",18,18,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",1,1,,,,
"Ocupantes presentes (026)",2,2,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",2277,2200,70,6,1,
"Ocupantes presentes (029)",8890,8266,534,77,13,
"Casa independiente",,,,,,
"Viviendas particulares (031)",2248,2173,68,6,1,
"Ocupantes presentes (032)",8781,8185,506,77,13,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",5,5,,,,
"Ocupantes presentes (035)",23,23,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",11,10,1,,,
"Ocupantes presentes (038)",40,34,6,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",6,5,1,,,
"Ocupantes presentes (041)",29,7,22,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",1,1,,,,
"Ocupantes presentes (047)",1,1,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",5,5,,,,
"Ocupantes presentes (050)",14,14,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",1,1,,,,
"Ocupantes presentes (053)",2,2,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",8569,8540,29,,,
"Ocupantes presentes (056)",34663,34455,208,,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",8177,8151,26,,,
"Ocupantes presentes (059)",33147,32963,184,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",390,387,3,,,
"Ocupantes presentes (071)",1512,1488,24,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",2,2,,,,
"Ocupantes presentes (077)",4,4,,,,
"Otro tipo",,,,,,
