"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia PURUS",,,,,,,,,
"Hogares (001)",758,18,8,7,5,4,3,3,710
"Ocupantes presentes (002)",3527,74,46,40,31,22,20,20,3274
"Casa independiente",,,,,,,,,
"Hogares (004)",744,18,8,7,4,4,3,3,697
"Ocupantes presentes (005)",3479,74,46,40,27,22,20,20,3230
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (016)",2,,,,,,,,2
"Ocupantes presentes (017)",5,,,,,,,,5
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",4,,,,1,,,,3
"Ocupantes presentes (020)",20,,,,4,,,,16
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",8,,,,,,,,8
"Ocupantes presentes (023)",23,,,,,,,,23
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",258,10,3,1,4,2,1,2,235
"Ocupantes presentes (029)",1069,32,20,1,27,9,4,15,961
"Casa independiente",,,,,,,,,
"Hogares (031)",251,10,3,1,3,2,1,2,229
"Ocupantes presentes (032)",1037,32,20,1,23,9,4,15,933
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",4,,,,1,,,,3
"Ocupantes presentes (047)",20,,,,4,,,,16
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",3,,,,,,,,3
"Ocupantes presentes (050)",12,,,,,,,,12
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",500,8,5,6,1,2,2,1,475
"Ocupantes presentes (056)",2458,42,26,39,4,13,16,5,2313
"Casa independiente",,,,,,,,,
"Hogares (058)",493,8,5,6,1,2,2,1,468
"Ocupantes presentes (059)",2442,42,26,39,4,13,16,5,2297
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",2,,,,,,,,2
"Ocupantes presentes (071)",5,,,,,,,,5
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",5,,,,,,,,5
"Ocupantes presentes (077)",11,,,,,,,,11
"Otro tipo",,,,,,,,,
