"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CARHUAZ (000)",43772,734,13318,11490,8059,6461,3710
"Jefe o Jefa (001)",11200,,13,1528,3705,3669,2285
"Esposa(o) / compañera(o) (002)",7602,,12,1598,2900,2253,839
"Hijo(a) / hijastro(a) (003)",19152,474,10806,6697,988,179,8
"Yerno / nuera (004)",821,,5,606,190,19,1
"Nieto(a) (005)",2397,214,1802,370,11,,
"Padres / suegros (006)",580,,,,12,126,442
"Otro(a) pariente (007)",1681,41,614,530,199,186,111
"Trabajador(a) del hogar (008)",50,,,38,6,2,4
"Pensionistas (009)",12,,,8,2,1,1
"Otro(a) no pariente (010)",277,5,66,115,46,26,19
"Hombres (011)",21221,400,6767,5693,3846,2990,1525
"Jefe o Jefa (012)",8297,,7,1238,3020,2685,1347
"Esposa(o) / compañera(o) (013)",404,,6,102,151,106,39
"Hijo(a) / hijastro(a) (014)",9874,261,5544,3570,431,67,1
"Yerno / nuera (015)",348,,2,210,120,15,1
"Nieto(a) (016)",1189,113,861,212,3,,
"Padres / suegros (017)",121,,,,1,23,97
"Otro(a) pariente (018)",825,22,315,288,90,77,33
"Trabajador(a) del hogar (019)",3,,,1,1,1,
"Pensionistas (020)",10,,,7,2,,1
"Otro(a) no pariente (021)",150,4,32,65,27,16,6
"Mujeres (022)",22551,334,6551,5797,4213,3471,2185
"Jefe o Jefa (023)",2903,,6,290,685,984,938
"Esposa(o) / compañera(o) (024)",7198,,6,1496,2749,2147,800
"Hijo(a) / hijastro(a) (025)",9278,213,5262,3127,557,112,7
"Yerno / nuera (026)",473,,3,396,70,4,
"Nieto(a) (027)",1208,101,941,158,8,,
"Padres / suegros (028)",459,,,,11,103,345
"Otro(a) pariente (029)",856,19,299,242,109,109,78
"Trabajador(a) del hogar (030)",47,,,37,5,1,4
"Pensionistas (031)",2,,,1,,1,
"Otro(a) no pariente (032)",127,1,34,50,19,10,13
,,,,,,,
"URBANA (033)",14732,236,4060,3931,2902,2329,1274
"Jefe o Jefa (034)",3955,,7,500,1302,1349,797
"Esposa(o) / compañera(o) (035)",2516,,2,516,975,767,256
"Hijo(a) / hijastro(a) (036)",6110,149,3239,2245,396,78,3
"Yerno / nuera (037)",271,,1,176,88,5,1
"Nieto(a) (038)",768,69,565,129,5,,
"Padres / suegros (039)",200,,,,6,33,161
"Otro(a) pariente (040)",669,14,209,236,92,77,41
"Trabajador(a) del hogar (041)",36,,,29,3,1,3
"Pensionistas (042)",10,,,7,2,1,
"Otro(a) no pariente (043)",197,4,37,93,33,18,12
"Hombres (044)",7156,142,2010,1968,1395,1112,529
"Jefe o Jefa (045)",2840,,2,390,1014,973,461
"Esposa(o) / compañera(o) (046)",170,,,42,65,43,20
"Hijo(a) / hijastro(a) (047)",3137,91,1617,1200,193,36,
"Yerno / nuera (048)",129,,1,67,56,4,1
"Nieto(a) (049)",381,40,265,74,2,,
"Padres / suegros (050)",45,,,,1,10,34
"Otro(a) pariente (051)",339,8,108,136,42,36,9
"Trabajador(a) del hogar (052)",2,,,1,1,,
"Pensionistas (053)",8,,,6,2,,
"Otro(a) no pariente (054)",105,3,17,52,19,10,4
"Mujeres (055)",7576,94,2050,1963,1507,1217,745
"Jefe o Jefa (056)",1115,,5,110,288,376,336
"Esposa(o) / compañera(o) (057)",2346,,2,474,910,724,236
"Hijo(a) / hijastro(a) (058)",2973,58,1622,1045,203,42,3
"Yerno / nuera (059)",142,,,109,32,1,
"Nieto(a) (060)",387,29,300,55,3,,
"Padres / suegros (061)",155,,,,5,23,127
"Otro(a) pariente (062)",330,6,101,100,50,41,32
"Trabajador(a) del hogar (063)",34,,,28,2,1,3
"Pensionistas (064)",2,,,1,,1,
"Otro(a) no pariente (065)",92,1,20,41,14,8,8
,,,,,,,
"RURAL (066)",29040,498,9258,7559,5157,4132,2436
"Jefe o Jefa (067)",7245,,6,1028,2403,2320,1488
"Esposa(o) / compañera(o) (068)",5086,,10,1082,1925,1486,583
"Hijo(a) / hijastro(a) (069)",13042,325,7567,4452,592,101,5
"Yerno / nuera (070)",550,,4,430,102,14,
"Nieto(a) (071)",1629,145,1237,241,6,,
"Padres / suegros (072)",380,,,,6,93,281
"Otro(a) pariente (073)",1012,27,405,294,107,109,70
"Trabajador(a) del hogar (074)",14,,,9,3,1,1
"Pensionistas (075)",2,,,1,,,1
"Otro(a) no pariente (076)",80,1,29,22,13,8,7
"Hombres (077)",14065,258,4757,3725,2451,1878,996
"Jefe o Jefa (078)",5457,,5,848,2006,1712,886
"Esposa(o) / compañera(o) (079)",234,,6,60,86,63,19
"Hijo(a) / hijastro(a) (080)",6737,170,3927,2370,238,31,1
"Yerno / nuera (081)",219,,1,143,64,11,
"Nieto(a) (082)",808,73,596,138,1,,
"Padres / suegros (083)",76,,,,,13,63
"Otro(a) pariente (084)",486,14,207,152,48,41,24
"Trabajador(a) del hogar (085)",1,,,,,1,
"Pensionistas (086)",2,,,1,,,1
"Otro(a) no pariente (087)",45,1,15,13,8,6,2
"Mujeres (088)",14975,240,4501,3834,2706,2254,1440
"Jefe o Jefa (089)",1788,,1,180,397,608,602
"Esposa(o) / compañera(o) (090)",4852,,4,1022,1839,1423,564
"Hijo(a) / hijastro(a) (091)",6305,155,3640,2082,354,70,4
"Yerno / nuera (092)",331,,3,287,38,3,
"Nieto(a) (093)",821,72,641,103,5,,
"Padres / suegros (094)",304,,,,6,80,218
"Otro(a) pariente (095)",526,13,198,142,59,68,46
"Trabajador(a) del hogar (096)",13,,,9,3,,1
"Otro(a) no pariente (098)",35,,14,9,5,2,5
