"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUANCA SANCOS (000)",173,5,52,72,41,3
"Conviviente (001)",58,,22,28,7,1
"Separado(a) (002)",3,,,1,2,
"Casado(a) (003)",73,,6,36,30,1
"Divorciado(a) (005)",1,,,,1,
"Soltero(a) (006)",38,5,24,7,1,1
"Hombres (008)",152,4,42,63,40,3
"Conviviente (009)",53,,18,27,7,1
"Separado(a) (010)",2,,,,2,
"Casado(a) (011)",66,,6,30,29,1
"Divorciado(a) (013)",1,,,,1,
"Soltero(a) (014)",30,4,18,6,1,1
"Mujeres (016)",21,1,10,9,1,
"Conviviente (017)",5,,4,1,,
"Separado(a) (018)",1,,,1,,
"Casado(a) (019)",7,,,6,1,
"Soltero(a) (022)",8,1,6,1,,
,,,,,,
"AREA URBANA (024)",77,,28,33,15,1
"Conviviente (025)",25,,8,14,3,
"Separado(a) (026)",3,,,1,2,
"Casado(a) (027)",28,,5,15,8,
"Divorciado(a) (029)",1,,,,1,
"Soltero(a) (030)",20,,15,3,1,1
"Hombres (032)",67,,21,30,15,1
"Conviviente (033)",23,,6,14,3,
"Separado(a) (034)",2,,,,2,
"Casado(a) (035)",26,,5,13,8,
"Divorciado(a) (037)",1,,,,1,
"Soltero(a) (038)",15,,10,3,1,1
"Mujeres (040)",10,,7,3,,
"Conviviente (041)",2,,2,,,
"Separado(a) (042)",1,,,1,,
"Casado(a) (043)",2,,,2,,
"Soltero(a) (046)",5,,5,,,
,,,,,,
"AREA RURAL (048)",96,5,24,39,26,2
"Conviviente (049)",33,,14,14,4,1
"Casado(a) (051)",45,,1,21,22,1
"Soltero(a) (054)",18,5,9,4,,
"Hombres (056)",85,4,21,33,25,2
"Conviviente (057)",30,,12,13,4,1
"Casado(a) (059)",40,,1,17,21,1
"Soltero(a) (062)",15,4,8,3,,
"Mujeres (064)",11,1,3,6,1,
"Conviviente (065)",3,,2,1,,
"Casado(a) (067)",5,,,4,1,
"Soltero(a) (070)",3,1,1,1,,
