"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia TUMBES",,,,,,,,,
"Viviendas particulares (001)",34282,14380,2862,1908,13699,168,221,92,952
"Ocupantes presentes (002)",139811,59028,11922,7751,55718,549,928,396,3519
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",32684,13173,2829,1859,13582,149,220,91,781
"Ocupantes presentes (005)",135232,55742,11798,7599,55293,501,927,394,2978
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",362,348,2,5,6,,,1,
"Ocupantes presentes (008)",1110,1063,8,12,25,,,2,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",894,794,17,14,69,,,,
"Ocupantes presentes (011)",2313,2020,51,36,206,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",92,41,10,11,25,,,,5
"Ocupantes presentes (014)",357,133,47,41,118,,,,18
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",22,,2,,16,4,,,
"Ocupantes presentes (017)",86,,5,,73,8,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",74,,,17,,13,,,44
"Ocupantes presentes (020)",240,,,58,,38,,,144
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",35,24,2,2,1,2,1,,3
"Ocupantes presentes (023)",100,70,13,5,3,2,1,,6
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",119,,,,,,,,119
"Ocupantes presentes (026)",373,,,,,,,,373
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",31506,14229,2684,1718,11492,149,218,90,926
"Ocupantes presentes (029)",128578,58422,11151,7011,46770,489,917,391,3427
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",29931,13023,2653,1669,11391,134,217,89,755
"Ocupantes presentes (032)",124089,55140,11032,6859,46418,449,916,389,2886
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",362,348,2,5,6,,,1,
"Ocupantes presentes (035)",1110,1063,8,12,25,,,2,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",894,794,17,14,69,,,,
"Ocupantes presentes (038)",2313,2020,51,36,206,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",92,41,10,11,25,,,,5
"Ocupantes presentes (041)",357,133,47,41,118,,,,18
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",74,,,17,,13,,,44
"Ocupantes presentes (047)",240,,,58,,38,,,144
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",34,23,2,2,1,2,1,,3
"Ocupantes presentes (050)",96,66,13,5,3,2,1,,6
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",119,,,,,,,,119
"Ocupantes presentes (053)",373,,,,,,,,373
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2776,151,178,190,2207,19,3,2,26
"Ocupantes presentes (056)",11233,606,771,740,8948,60,11,5,92
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2753,150,176,190,2191,15,3,2,26
"Ocupantes presentes (059)",11143,602,766,740,8875,52,11,5,92
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",22,,2,,16,4,,,
"Ocupantes presentes (071)",86,,5,,73,8,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,1,,,,,,,
"Ocupantes presentes (077)",4,4,,,,,,,
"Otro tipo",,,,,,,,,
