"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SULLANA (000)",5572,1395,4177
"Sin nivel (001)",292,31,261
"Educación inicial (002)",6,3,3
"Primaria (003)",1449,288,1161
"Secundaria (004)",2248,608,1640
"Superior no univ. incompleta (005)",336,100,236
"Superior no univ. completa (006)",657,179,478
"Superior univ. incompleta (007)",231,87,144
"Superior univ. completa (008)",353,99,254
"De 14 a 29 años (010)",2938,1101,1837
"Sin nivel (011)",55,14,41
"Educación inicial (012)",5,3,2
"Primaria (013)",553,197,356
"Secundaria (014)",1378,505,873
"Superior no univ. incompleta (015)",221,79,142
"Superior no univ. completa (016)",372,141,231
"Superior univ. incompleta (017)",166,78,88
"Superior univ. completa (018)",188,84,104
"De 30 a 44 años (020)",1563,247,1316
"Sin nivel (021)",106,11,95
"Educación inicial (022)",1,,1
"Primaria (023)",421,71,350
"Secundaria (024)",593,89,504
"Superior no univ. incompleta (025)",78,19,59
"Superior no univ. completa (026)",209,34,175
"Superior univ. incompleta (027)",41,8,33
"Superior univ. completa (028)",114,15,99
"De 45 a 64 años (030)",904,47,857
"Sin nivel (031)",93,6,87
"Primaria (033)",391,20,371
"Secundaria (034)",255,14,241
"Superior no univ. incompleta (035)",31,2,29
"Superior no univ. completa (036)",67,4,63
"Superior univ. incompleta (037)",22,1,21
"Superior univ. completa (038)",45,,45
"De 65 y más años (040)",167,,167
"Sin nivel (041)",38,,38
"Primaria (043)",84,,84
"Secundaria (044)",22,,22
"Superior no univ. incompleta (045)",6,,6
"Superior no univ. completa (046)",9,,9
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",6,,6
,,,
"AREA URBANA (050)",5052,1263,3789
"Sin nivel (051)",252,29,223
"Educación inicial (052)",5,3,2
"Primaria (053)",1157,210,947
"Secundaria (054)",2086,564,1522
"Superior no univ. incompleta (055)",331,99,232
"Superior no univ. completa (056)",646,173,473
"Superior univ. incompleta (057)",228,86,142
"Superior univ. completa (058)",347,99,248
"De 14 a 29 años (060)",2647,986,1661
"Sin nivel (061)",47,13,34
"Educación inicial (062)",5,3,2
"Primaria (063)",416,133,283
"Secundaria (064)",1252,463,789
"Superior no univ. incompleta (065)",216,78,138
"Superior no univ. completa (066)",362,135,227
"Superior univ. incompleta (067)",163,77,86
"Superior univ. completa (068)",186,84,102
"De 30 a 44 años (070)",1433,237,1196
"Sin nivel (071)",94,10,84
"Primaria (073)",341,63,278
"Secundaria (074)",561,88,473
"Superior no univ. incompleta (075)",78,19,59
"Superior no univ. completa (076)",208,34,174
"Superior univ. incompleta (077)",41,8,33
"Superior univ. completa (078)",110,15,95
"De 45 a 64 años (080)",828,40,788
"Sin nivel (081)",82,6,76
"Primaria (083)",330,14,316
"Secundaria (084)",251,13,238
"Superior no univ. incompleta (085)",31,2,29
"Superior no univ. completa (086)",67,4,63
"Superior univ. incompleta (087)",22,1,21
"Superior univ. completa (088)",45,,45
"De 65 y más años (090)",144,,144
"Sin nivel (091)",29,,29
"Primaria (093)",70,,70
"Secundaria (094)",22,,22
"Superior no univ. incompleta (095)",6,,6
"Superior no univ. completa (096)",9,,9
"Superior univ. incompleta (097)",2,,2
"Superior univ. completa (098)",6,,6
,,,
"AREA RURAL (100)",520,132,388
"Sin nivel (101)",40,2,38
"Educación inicial (102)",1,,1
"Primaria (103)",292,78,214
"Secundaria (104)",162,44,118
"Superior no univ. incompleta (105)",5,1,4
"Superior no univ. completa (106)",11,6,5
"Superior univ. incompleta (107)",3,1,2
"Superior univ. completa (108)",6,,6
"De 14 a 29 años (110)",291,115,176
"Sin nivel (111)",8,1,7
"Primaria (113)",137,64,73
"Secundaria (114)",126,42,84
"Superior no univ. incompleta (115)",5,1,4
"Superior no univ. completa (116)",10,6,4
"Superior univ. incompleta (117)",3,1,2
"Superior univ. completa (118)",2,,2
"De 30 a 44 años (120)",130,10,120
"Sin nivel (121)",12,1,11
"Educación inicial (122)",1,,1
"Primaria (123)",80,8,72
"Secundaria (124)",32,1,31
"Superior no univ. completa (126)",1,,1
"Superior univ. completa (128)",4,,4
"De 45 a 64 años (130)",76,7,69
"Sin nivel (131)",11,,11
"Primaria (133)",61,6,55
"Secundaria (134)",4,1,3
"De 65 y más años (140)",23,,23
"Sin nivel (141)",9,,9
"Primaria (143)",14,,14
