"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CORONGO (000)",2497,25,229,57,99,209,798,131,125,746,8,70
"Agric., ganadería, caza y silvicultura (001)",1310,,,4,,,797,,,509,,
"Pesca (002)",1,,,,,,1,,,,,
"Explotación de minas y canteras (003)",34,,,,1,,,21,,12,,
"Industrias manufactureras (004)",110,,1,2,4,2,,97,2,2,,
"Suministro de electricidad, gas y agua (005)",2,,,1,,,,,1,,,
"Construcción (006)",143,,3,,2,,,6,72,60,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",216,,1,3,3,157,,5,2,45,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",5,,,,,3,,2,,,,
"Comercio al por mayor (009)",9,,,1,,7,,,,1,,
"Comercio al por menor (010)",202,,1,2,3,147,,3,2,44,,
"Hoteles y restaurantes (011)",63,,,1,2,44,,,,16,,
"Trans., almac. y comunicaciones (012)",51,,,2,4,,,,38,7,,
"Intermediación financiera (013)",2,,,,1,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",39,,6,7,16,2,,,,8,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",116,20,5,,46,,,2,5,30,8,
"Enseñanza (016)",212,5,186,1,14,,,,1,5,,
"Servicios sociales y de salud (017)",34,,11,18,1,,,,3,1,,
"Otras activ. serv.comun.soc y personales (018)",53,,16,18,5,4,,,1,9,,
"Hogares privados con servicio doméstico (019)",41,,,,,,,,,41,,
"Actividad economica no especificada (021)",70,,,,,,,,,,,70
"Hombres (022)",1990,21,137,40,63,85,768,112,125,616,8,15
"Agric., ganadería, caza y silvicultura (023)",1237,,,4,,,767,,,466,,
"Pesca (024)",1,,,,,,1,,,,,
"Explotación de minas y canteras (025)",34,,,,1,,,21,,12,,
"Industrias manufactureras (026)",86,,1,,3,1,,78,2,1,,
"Suministro de electricidad, gas y agua (027)",2,,,1,,,,,1,,,
"Construcción (028)",141,,3,,2,,,6,72,58,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",108,,,2,3,70,,5,2,26,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",4,,,,,2,,2,,,,
"Comercio al por mayor (031)",6,,,,,5,,,,1,,
"Comercio al por menor (032)",98,,,2,3,63,,3,2,25,,
"Hoteles y restaurantes (033)",19,,,,2,12,,,,5,,
"Trans., almac. y comunicaciones (034)",50,,,2,3,,,,38,7,,
"Intermediación financiera (035)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",27,,6,6,7,2,,,,6,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",91,17,3,,31,,,2,5,25,8,
"Enseñanza (038)",116,4,101,1,6,,,,1,3,,
"Servicios sociales y de salud (039)",17,,7,6,1,,,,3,,,
"Otras activ. serv.comun.soc y personales (040)",42,,16,18,3,,,,1,4,,
"Hogares privados con servicio doméstico (041)",3,,,,,,,,,3,,
"Actividad economica no especificada (043)",15,,,,,,,,,,,15
"Mujeres (044)",507,4,92,17,36,124,30,19,,130,,55
"Agric., ganadería, caza y silvicultura (045)",73,,,,,,30,,,43,,
"Industrias manufactureras (048)",24,,,2,1,1,,19,,1,,
"Construcción (050)",2,,,,,,,,,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",108,,1,1,,87,,,,19,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",1,,,,,1,,,,,,
"Comercio al por mayor (053)",3,,,1,,2,,,,,,
"Comercio al por menor (054)",104,,1,,,84,,,,19,,
"Hoteles y restaurantes (055)",44,,,1,,32,,,,11,,
"Trans., almac. y comunicaciones (056)",1,,,,1,,,,,,,
"Intermediación financiera (057)",1,,,,,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",12,,,1,9,,,,,2,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",25,3,2,,15,,,,,5,,
"Enseñanza (060)",96,1,85,,8,,,,,2,,
"Servicios sociales y de salud (061)",17,,4,12,,,,,,1,,
"Otras activ. serv.comun.soc y personales (062)",11,,,,2,4,,,,5,,
"Hogares privados con servicio doméstico (063)",38,,,,,,,,,38,,
"Actividad economica no especificada (065)",55,,,,,,,,,,,55
,,,,,,,,,,,,
"URBANA (066)",1383,15,165,46,82,144,323,77,91,400,8,32
"Agric., ganadería, caza y silvicultura (067)",563,,,4,,,322,,,237,,
"Pesca (068)",1,,,,,,1,,,,,
"Industrias manufactureras (070)",77,,1,2,2,2,,66,2,2,,
"Suministro de electricidad, gas y agua (071)",2,,,1,,,,,1,,,
"Construcción (072)",105,,1,,1,,,5,59,39,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",158,,1,2,3,112,,5,1,34,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",2,,,,,,,2,,,,
"Comercio al por mayor (075)",6,,,,,5,,,,1,,
"Comercio al por menor (076)",150,,1,2,3,107,,3,1,33,,
"Hoteles y restaurantes (077)",42,,,1,2,25,,,,14,,
"Trans., almac. y comunicaciones (078)",29,,,2,4,,,,19,4,,
"Intermediación financiera (079)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",32,,5,6,12,1,,,,8,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",88,12,4,,39,,,1,4,20,8,
"Enseñanza (082)",154,3,134,1,12,,,,1,3,,
"Servicios sociales y de salud (083)",27,,8,14,1,,,,3,1,,
"Otras activ. serv.comun.soc y personales (084)",40,,11,13,5,4,,,1,6,,
"Hogares privados con servicio doméstico (085)",32,,,,,,,,,32,,
"Actividad economica no especificada (087)",32,,,,,,,,,,,32
"Hombres (088)",1033,13,103,33,52,53,304,60,91,308,8,8
"Agric., ganadería, caza y silvicultura (089)",522,,,4,,,303,,,215,,
"Pesca (090)",1,,,,,,1,,,,,
"Industrias manufactureras (092)",56,,1,,2,1,,49,2,1,,
"Suministro de electricidad, gas y agua (093)",2,,,1,,,,,1,,,
"Construcción (094)",103,,1,,1,,,5,59,37,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",73,,,2,3,45,,5,1,17,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",2,,,,,,,2,,,,
