"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANTA (000)",6008,334,7,1873,2599,292,267,220,416
"Empleado (001)",703,5,,46,193,51,117,64,227
"Obrero (002)",2079,171,3,695,995,87,40,40,48
"Trabajador independiente (003)",2272,86,2,763,1010,123,84,90,114
"Empleador o patrono (004)",263,16,,99,103,13,9,11,12
"Trabajador familiar no remunerado (005)",610,50,1,245,262,11,14,15,12
"Trabajador del hogar (006)",81,6,1,25,36,7,3,,3
"Hombres (008)",4072,162,3,1218,1926,212,138,159,254
"Empleado (009)",370,1,,25,120,29,50,35,110
"Obrero (010)",1589,86,1,493,830,74,28,35,42
"Trabajador independiente (011)",1629,44,2,542,738,91,46,75,91
"Empleador o patrono (012)",216,11,,83,88,12,7,7,8
"Trabajador familiar no remunerado (013)",263,19,,73,149,5,7,7,3
"Trabajador del hogar (014)",5,1,,2,1,1,,,
"Mujeres (016)",1936,172,4,655,673,80,129,61,162
"Empleado (017)",333,4,,21,73,22,67,29,117
"Obrero (018)",490,85,2,202,165,13,12,5,6
"Trabajador independiente (019)",643,42,,221,272,32,38,15,23
"Empleador o patrono (020)",47,5,,16,15,1,2,4,4
"Trabajador familiar no remunerado (021)",347,31,1,172,113,6,7,8,9
"Trabajador del hogar (022)",76,5,1,23,35,6,3,,3
,,,,,,,,,
"URBANA (024)",2887,67,4,931,1204,120,155,139,267
"Empleado (025)",519,3,,27,127,34,93,53,182
"Obrero (026)",545,21,1,196,281,14,11,12,9
"Trabajador independiente (027)",1281,19,1,483,575,56,36,50,61
"Empleador o patrono (028)",119,3,,39,47,6,6,10,8
"Trabajador familiar no remunerado (029)",361,17,1,164,148,5,7,14,5
"Trabajador del hogar (030)",62,4,1,22,26,5,2,,2
"Hombres (032)",1845,22,1,574,854,80,79,89,146
"Empleado (033)",256,,,11,72,19,42,29,83
"Obrero (034)",436,9,,147,240,13,8,10,9
"Trabajador independiente (035)",901,4,1,338,413,39,19,38,49
"Empleador o patrono (036)",83,,,27,36,5,5,6,4
"Trabajador familiar no remunerado (037)",165,8,,49,93,3,5,6,1
"Trabajador del hogar (038)",4,1,,2,,1,,,
"Mujeres (040)",1042,45,3,357,350,40,76,50,121
"Empleado (041)",263,3,,16,55,15,51,24,99
"Obrero (042)",109,12,1,49,41,1,3,2,
"Trabajador independiente (043)",380,15,,145,162,17,17,12,12
"Empleador o patrono (044)",36,3,,12,11,1,1,4,4
"Trabajador familiar no remunerado (045)",196,9,1,115,55,2,2,8,4
"Trabajador del hogar (046)",58,3,1,20,26,4,2,,2
,,,,,,,,,
"RURAL (048)",3121,267,3,942,1395,172,112,81,149
"Empleado (049)",184,2,,19,66,17,24,11,45
"Obrero (050)",1534,150,2,499,714,73,29,28,39
"Trabajador independiente (051)",991,67,1,280,435,67,48,40,53
"Empleador o patrono (052)",144,13,,60,56,7,3,1,4
"Trabajador familiar no remunerado (053)",249,33,,81,114,6,7,1,7
"Trabajador del hogar (054)",19,2,,3,10,2,1,,1
"Hombres (056)",2227,140,2,644,1072,132,59,70,108
"Empleado (057)",114,1,,14,48,10,8,6,27
"Obrero (058)",1153,77,1,346,590,61,20,25,33
"Trabajador independiente (059)",728,40,1,204,325,52,27,37,42
"Empleador o patrono (060)",133,11,,56,52,7,2,1,4
"Trabajador familiar no remunerado (061)",98,11,,24,56,2,2,1,2
"Trabajador del hogar (062)",1,,,,1,,,,
"Mujeres (064)",894,127,1,298,323,40,53,11,41
"Empleado (065)",70,1,,5,18,7,16,5,18
"Obrero (066)",381,73,1,153,124,12,9,3,6
"Trabajador independiente (067)",263,27,,76,110,15,21,3,11
"Empleador o patrono (068)",11,2,,4,4,,1,,
"Trabajador familiar no remunerado (069)",151,22,,57,58,4,5,,5
"Trabajador del hogar (070)",18,2,,3,9,2,1,,1
