"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN MARTIN (000)",141877,3742,1638,53053,52956,7050,9344,6476,7618
"Hombres (001)",72212,1239,811,25700,28190,3547,4531,3723,4471
"Mujeres (002)",69665,2503,827,27353,24766,3503,4813,2753,3147
"PEA (003)",68718,1316,74,19555,27058,4148,7166,3152,6249
"Hombres (004)",45234,697,48,13182,18880,2502,3927,2083,3915
"Mujeres (005)",23484,619,26,6373,8178,1646,3239,1069,2334
"Ocupada (006)",66729,1294,67,19070,26183,4009,6951,3052,6103
"Hombres (007)",43908,685,46,12809,18273,2429,3821,2014,3831
"Mujeres (008)",22821,609,21,6261,7910,1580,3130,1038,2272
"Desocupada (009)",1989,22,7,485,875,139,215,100,146
"Hombres (010)",1326,12,2,373,607,73,106,69,84
"Mujeres (011)",663,10,5,112,268,66,109,31,62
"No PEA (012)",73159,2426,1564,33498,25898,2902,2178,3324,1369
"Hombres (013)",26978,542,763,12518,9310,1045,604,1640,556
"Mujeres (014)",46181,1884,801,20980,16588,1857,1574,1684,813
,,,,,,,,,
"URBANA (018)",129473,2848,1428,45003,50125,6932,9180,6416,7541
"Hombres (019)",65150,899,703,21226,26343,3464,4428,3676,4411
"Mujeres (020)",64323,1949,725,23777,23782,3468,4752,2740,3130
"PEA (021)",62623,912,65,15747,25491,4076,7034,3115,6183
"Hombres (022)",40449,453,42,10208,17551,2444,3838,2051,3862
"Mujeres (023)",22174,459,23,5539,7940,1632,3196,1064,2321
"Ocupada (024)",60798,895,58,15365,24664,3940,6822,3015,6039
"Hombres (025)",39255,444,40,9915,16988,2373,3733,1982,3780
"Mujeres (026)",21543,451,18,5450,7676,1567,3089,1033,2259
"Desocupada (027)",1825,17,7,382,827,136,212,100,144
"Hombres (028)",1194,9,2,293,563,71,105,69,82
"Mujeres (029)",631,8,5,89,264,65,107,31,62
"No PEA (030)",66850,1936,1363,29256,24634,2856,2146,3301,1358
"Hombres (031)",24701,446,661,11018,8792,1020,590,1625,549
"Mujeres (032)",42149,1490,702,18238,15842,1836,1556,1676,809
,,,,,,,,,
"RURAL (036)",12404,894,210,8050,2831,118,164,60,77
"Hombres (037)",7062,340,108,4474,1847,83,103,47,60
"Mujeres (038)",5342,554,102,3576,984,35,61,13,17
"PEA (039)",6095,404,9,3808,1567,72,132,37,66
"Hombres (040)",4785,244,6,2974,1329,58,89,32,53
"Mujeres (041)",1310,160,3,834,238,14,43,5,13
"Ocupada (042)",5931,399,9,3705,1519,69,129,37,64
"Hombres (043)",4653,241,6,2894,1285,56,88,32,51
"Mujeres (044)",1278,158,3,811,234,13,41,5,13
"Desocupada (045)",164,5,,103,48,3,3,,2
"Hombres (046)",132,3,,80,44,2,1,,2
"Mujeres (047)",32,2,,23,4,1,2,,
"No PEA (048)",6309,490,201,4242,1264,46,32,23,11
"Hombres (049)",2277,96,102,1500,518,25,14,15,7
"Mujeres (050)",4032,394,99,2742,746,21,18,8,4
