"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARAVELI (000)",16677,10957,2378,1365,1977
"Hombres (001)",12594,7836,1963,1068,1727
"Mujeres (002)",4083,3121,415,297,250
"De 06 a 14 años (003)",132,119,10,2,1
"Hombres (004)",91,83,6,2,
"Mujeres (005)",41,36,4,,1
"De 15 a 29 años (006)",6208,3662,1193,636,717
"Hombres (007)",4785,2575,1035,548,627
"Mujeres (008)",1423,1087,158,88,90
"De 30 a 44 años (009)",5984,3805,817,504,858
"Hombres (010)",4409,2675,634,358,742
"Mujeres (011)",1575,1130,183,146,116
"De 45 a 64 años (012)",3534,2635,316,214,369
"Hombres (013)",2637,1910,248,152,327
"Mujeres (014)",897,725,68,62,42
"De 65 y más años (015)",819,736,42,9,32
"Hombres (016)",672,593,40,8,31
"Mujeres (017)",147,143,2,1,1
,,,,,
"URBANA (018)",9524,6789,1060,726,949
"Hombres (019)",6641,4575,800,510,756
"Mujeres (020)",2883,2214,260,216,193
"De 06 a 14 años (021)",84,77,5,1,1
"Hombres (022)",54,51,2,1,
"Mujeres (023)",30,26,3,,1
"De 15 a 29 años (024)",2978,2070,383,225,300
"Hombres (025)",2082,1345,319,182,236
"Mujeres (026)",896,725,64,43,64
"De 30 a 44 años (027)",3699,2497,424,338,440
"Hombres (028)",2491,1641,287,215,348
"Mujeres (029)",1208,856,137,123,92
"De 45 a 64 años (030)",2273,1715,214,155,189
"Hombres (031)",1627,1207,160,106,154
"Mujeres (032)",646,508,54,49,35
"De 65 y más años (033)",490,430,34,7,19
"Hombres (034)",387,331,32,6,18
"Mujeres (035)",103,99,2,1,1
,,,,,
"RURAL (036)",7153,4168,1318,639,1028
"Hombres (037)",5953,3261,1163,558,971
"Mujeres (038)",1200,907,155,81,57
"De 06 a 14 años (039)",48,42,5,1,
"Hombres (040)",37,32,4,1,
"Mujeres (041)",11,10,1,,
"De 15 a 29 años (042)",3230,1592,810,411,417
"Hombres (043)",2703,1230,716,366,391
"Mujeres (044)",527,362,94,45,26
"De 30 a 44 años (045)",2285,1308,393,166,418
"Hombres (046)",1918,1034,347,143,394
"Mujeres (047)",367,274,46,23,24
"De 45 a 64 años (048)",1261,920,102,59,180
"Hombres (049)",1010,703,88,46,173
"Mujeres (050)",251,217,14,13,7
"De 65 y más años (051)",329,306,8,2,13
"Hombres (052)",285,262,8,2,13
"Mujeres (053)",44,44,,,
