"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAMANGA (000)",71283,50321,7153,5863,7946
"Empleado (001)",21482,6391,3560,4703,6828
"Obrero (002)",9687,6298,1351,986,1052
"Trabajador independiente (003)",31604,29932,1672,,
"Empleador o patrono (004)",1247,906,218,93,30
"Trabajador familiar no remunerado (005)",5723,5254,352,81,36
"Trabajador del hogar (006)",1540,1540,,,
"De 06 a 14 años (008)",1208,1091,80,29,8
"Empleado (009)",118,96,15,3,4
"Obrero (010)",111,86,9,14,2
"Trabajador independiente (011)",272,253,19,,
"Empleador o patrono (012)",5,5,,,
"Trabajador familiar no remunerado (013)",580,529,37,12,2
"Trabajador del hogar (014)",122,122,,,
"De 15 a 29 años (016)",24633,18160,2851,1737,1885
"Empleado (017)",7404,3352,1321,1258,1473
"Obrero (018)",4056,2623,624,419,390
"Trabajador independiente (019)",9374,8708,666,,
"Empleador o patrono (020)",360,261,71,22,6
"Trabajador familiar no remunerado (021)",2448,2225,169,38,16
"Trabajador del hogar (022)",991,991,,,
"De 30 a 44 años (024)",26613,17322,2833,2742,3716
"Empleado (025)",9059,1982,1544,2283,3250
"Obrero (026)",3391,2077,473,394,447
"Trabajador independiente (027)",11969,11334,635,,
"Empleador o patrono (028)",502,347,96,46,13
"Trabajador familiar no remunerado (029)",1398,1288,85,19,6
"Trabajador del hogar (030)",294,294,,,
"De 45 a 64 años (032)",15785,11008,1235,1291,2251
"Empleado (033)",4677,879,632,1118,2048
"Obrero (034)",1819,1271,215,143,190
"Trabajador independiente (035)",7882,7584,298,,
"Empleador o patrono (036)",312,237,45,21,9
"Trabajador familiar no remunerado (037)",973,915,45,9,4
"Trabajador del hogar (038)",122,122,,,
"De 65 y más años (040)",3044,2740,154,64,86
"Empleado (041)",224,82,48,41,53
"Obrero (042)",310,241,30,16,23
"Trabajador independiente (043)",2107,2053,54,,
"Empleador o patrono (044)",68,56,6,4,2
"Trabajador familiar no remunerado (045)",324,297,16,3,8
"Trabajador del hogar (046)",11,11,,,
,,,,,
"URBANA (048)",57995,38251,6353,5601,7790
"Empleado (049)",21015,6139,3477,4644,6755
"Obrero (050)",7271,4410,1066,818,977
"Trabajador independiente (051)",24004,22615,1389,,
