"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia MOHO",,,,,,
"Viviendas particulares (001)",9402,9371,29,2,,
"Ocupantes presentes (002)",27342,27106,213,23,,
"Casa independiente",,,,,,
"Viviendas particulares (004)",8342,8311,29,2,,
"Ocupantes presentes (005)",24317,24081,213,23,,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",1,1,,,,
"Ocupantes presentes (008)",5,5,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",6,6,,,,
"Ocupantes presentes (011)",13,13,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",24,24,,,,
"Ocupantes presentes (014)",76,76,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",1019,1019,,,,
"Ocupantes presentes (017)",2908,2908,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",8,8,,,,
"Ocupantes presentes (023)",17,17,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",2,2,,,,
"Ocupantes presentes (026)",6,6,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",2322,2304,16,2,,
"Ocupantes presentes (029)",7478,7344,111,23,,
"Casa independiente",,,,,,
"Viviendas particulares (031)",2286,2268,16,2,,
"Ocupantes presentes (032)",7373,7239,111,23,,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",1,1,,,,
"Ocupantes presentes (035)",5,5,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",6,6,,,,
"Ocupantes presentes (038)",13,13,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",24,24,,,,
"Ocupantes presentes (041)",76,76,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",5,5,,,,
"Ocupantes presentes (050)",11,11,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",7080,7067,13,,,
"Ocupantes presentes (056)",19864,19762,102,,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",6056,6043,13,,,
"Ocupantes presentes (059)",16944,16842,102,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",1019,1019,,,,
"Ocupantes presentes (071)",2908,2908,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",3,3,,,,
"Ocupantes presentes (077)",6,6,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",2,2,,,,
"Ocupantes presentes (080)",6,6,,,,
