"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TARMA (000)",100253,6965,1342,41223,33716,4596,4816,2818,4777
"Hombres (001)",49091,1618,687,19872,18399,2357,2299,1455,2404
"Mujeres (002)",51162,5347,655,21351,15317,2239,2517,1363,2373
"PEA (003)",44661,2302,32,15144,16345,2323,3437,1435,3643
"Hombres (004)",29889,961,22,10438,11972,1555,1952,939,2050
"Mujeres (005)",14772,1341,10,4706,4373,768,1485,496,1593
"Ocupada (006)",42825,2244,28,14714,15588,2194,3229,1363,3465
"Hombres (007)",28699,927,19,10137,11451,1468,1841,892,1964
"Mujeres (008)",14126,1317,9,4577,4137,726,1388,471,1501
"Desocupada (009)",1836,58,4,430,757,129,208,72,178
"Hombres (010)",1190,34,3,301,521,87,111,47,86
"Mujeres (011)",646,24,1,129,236,42,97,25,92
"No PEA (012)",55592,4663,1310,26079,17371,2273,1379,1383,1134
"Hombres (013)",19202,657,665,9434,6427,802,347,516,354
"Mujeres (014)",36390,4006,645,16645,10944,1471,1032,867,780
,,,,,,,,,
"URBANA (018)",65098,3564,883,22299,23004,3939,4362,2553,4494
"Hombres (019)",31486,738,454,10526,12145,2009,2062,1317,2235
"Mujeres (020)",33612,2826,429,11773,10859,1930,2300,1236,2259
"PEA (021)",29297,1173,29,7332,10854,2050,3124,1311,3424
"Hombres (022)",18361,385,20,4578,7531,1352,1749,850,1896
"Mujeres (023)",10936,788,9,2754,3323,698,1375,461,1528
"Ocupada (024)",27818,1131,25,7045,10253,1933,2935,1242,3254
"Hombres (025)",17407,360,17,4377,7116,1273,1646,805,1813
"Mujeres (026)",10411,771,8,2668,3137,660,1289,437,1441
"Desocupada (027)",1479,42,4,287,601,117,189,69,170
"Hombres (028)",954,25,3,201,415,79,103,45,83
"Mujeres (029)",525,17,1,86,186,38,86,24,87
"No PEA (030)",35801,2391,854,14967,12150,1889,1238,1242,1070
"Hombres (031)",13125,353,434,5948,4614,657,313,467,339
"Mujeres (032)",22676,2038,420,9019,7536,1232,925,775,731
,,,,,,,,,
"RURAL (036)",35155,3401,459,18924,10712,657,454,265,283
"Hombres (037)",17605,880,233,9346,6254,348,237,138,169
"Mujeres (038)",17550,2521,226,9578,4458,309,217,127,114
"PEA (039)",15364,1129,3,7812,5491,273,313,124,219
"Hombres (040)",11528,576,2,5860,4441,203,203,89,154
"Mujeres (041)",3836,553,1,1952,1050,70,110,35,65
"Ocupada (042)",15007,1113,3,7669,5335,261,294,121,211
"Hombres (043)",11292,567,2,5760,4335,195,195,87,151
"Mujeres (044)",3715,546,1,1909,1000,66,99,34,60
"Desocupada (045)",357,16,,143,156,12,19,3,8
"Hombres (046)",236,9,,100,106,8,8,2,3
"Mujeres (047)",121,7,,43,50,4,11,1,5
"No PEA (048)",19791,2272,456,11112,5221,384,141,141,64
"Hombres (049)",6077,304,231,3486,1813,145,34,49,15
"Mujeres (050)",13714,1968,225,7626,3408,239,107,92,49
