"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia OCROS (000)",2566,28,873,926,326,113,47,19,2,,232
"Catolica (001)",2088,22,696,749,283,98,34,15,1,,190
"Cristiana / Evangelica (002)",431,5,166,157,36,14,10,4,1,,38
"Otra (003)",30,,8,13,4,1,3,,,,1
"Ninguna (004)",17,1,3,7,3,,,,,,3
,,,,,,,,,,,
"URBANA (006)",1532,12,497,563,210,77,35,9,1,,128
"Catolica (007)",1248,9,392,462,181,67,26,8,,,103
"Cristiana / Evangelica (008)",254,2,96,91,25,9,7,1,1,,22
"Otra (009)",20,,7,7,2,1,2,,,,1
"Ninguna (010)",10,1,2,3,2,,,,,,2
,,,,,,,,,,,
"RURAL (012)",1034,16,376,363,116,36,12,10,1,,104
"Catolica (013)",840,13,304,287,102,31,8,7,1,,87
"Cristiana / Evangelica (014)",177,3,70,66,11,5,3,3,,,16
"Otra (015)",10,,1,6,2,,1,,,,
"Ninguna (016)",7,,1,4,1,,,,,,1
