"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CUSCO (000)",105211,829,25977,31428,15920,6012,2387,588,100,,21970
"Sin Nivel (001)",7357,190,2659,1927,777,340,203,113,18,,1130
"Educación Inicial (002)",98,1,28,25,7,2,1,,,,34
"Primaria (003)",18830,305,8004,5795,1665,644,383,134,26,,1874
"Secundaria (004)",32995,228,10990,11533,3735,1099,479,123,16,,4792
"Sup. no Univ. Incompleta (005)",7319,20,1173,2596,1057,258,76,21,2,,2116
"Sup. no Univ. Completa (006)",11763,27,1212,3509,2689,910,282,42,11,,3081
"Sup. Univ. Incompleta (007)",8150,23,825,2186,1357,469,156,19,7,,3108
"Sup. Univ. Completa (008)",18699,35,1086,3857,4633,2290,807,136,20,,5835
,,,,,,,,,,,
"URBANA (010)",101222,760,24296,30185,15568,5891,2349,571,98,,21504
"Sin Nivel (011)",6172,160,2141,1612,660,300,191,103,16,,989
"Educación Inicial (012)",86,1,25,22,6,2,1,,,,29
"Primaria (013)",17110,271,7205,5246,1553,595,368,131,26,,1715
"Secundaria (014)",32163,223,10659,11247,3655,1078,473,122,16,,4690
"Sup. no Univ. Incompleta (015)",7242,20,1159,2562,1049,256,76,20,2,,2098
"Sup. no Univ. Completa (016)",11686,27,1206,3482,2672,905,279,40,11,,3064
"Sup. Univ. Incompleta (017)",8115,23,818,2173,1354,468,156,19,7,,3097
"Sup. Univ. Completa (018)",18648,35,1083,3841,4619,2287,805,136,20,,5822
,,,,,,,,,,,
"RURAL (020)",3989,69,1681,1243,352,121,38,17,2,,466
"Sin Nivel (021)",1185,30,518,315,117,40,12,10,2,,141
"Educación Inicial (022)",12,,3,3,1,,,,,,5
"Primaria (023)",1720,34,799,549,112,49,15,3,,,159
"Secundaria (024)",832,5,331,286,80,21,6,1,,,102
"Sup. no Univ. Incompleta (025)",77,,14,34,8,2,,1,,,18
"Sup. no Univ. Completa (026)",77,,6,27,17,5,3,2,,,17
"Sup. Univ. Incompleta (027)",35,,7,13,3,1,,,,,11
"Sup. Univ. Completa (028)",51,,3,16,14,3,2,,,,13
