"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia MOYOBAMBA (000)",26795,14514,12281
"Red pública dentro de la vivienda (001)",13669,11731,1938
"Red pública fuera de la vivienda (002)",2418,1583,835
"Pilón de uso público (003)",288,28,260
"Camión - cisterna u otro similar (004)",16,7,9
"Pozo (005)",2443,230,2213
"Río, acequia, manatial o similar (006)",7354,735,6619
"Vecino (007)",475,154,321
"Otro (008)",132,46,86
,,,
"URBANA (010)",16162,13780,2382
"Red pública dentro de la vivienda (011)",12355,11500,855
"Red pública fuera de la vivienda (012)",1667,1463,204
"Pilón de uso público (013)",110,26,84
"Camión - cisterna u otro similar (014)",6,4,2
"Pozo (015)",338,166,172
"Río, acequia, manatial o similar (016)",1289,435,854
"Vecino (017)",323,141,182
"Otro (018)",74,45,29
,,,
"RURAL (020)",10633,734,9899
"Red pública dentro de la vivienda (021)",1314,231,1083
"Red pública fuera de la vivienda (022)",751,120,631
"Pilón de uso público (023)",178,2,176
"Camión - cisterna u otro similar (024)",10,3,7
"Pozo (025)",2105,64,2041
"Río, acequia, manatial o similar (026)",6065,300,5765
"Vecino (027)",152,13,139
"Otro (028)",58,1,57
