"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA MAR (000)",26558,23608,1435,498,1017
"Agric., ganadería, caza y silvicultura (001)",19348,18445,798,80,25
"Pesca (002)",11,11,,,
"Explotación de minas y canteras (003)",30,2,2,4,22
"Industrias manufactureras (004)",246,229,10,1,6
"Suministro de electricidad, gas y agua (005)",15,,1,7,7
"Construcción (006)",620,360,136,87,37
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2243,2186,50,7,
"Venta, mant.y rep. veh.autom y motoc. (008)",130,128,2,,
"Comercio al por mayor (009)",90,82,5,3,
"Comercio al por menor (010)",2023,1976,43,4,
"Hoteles y restaurantes (011)",607,565,21,4,17
"Trans., almac. y comunicaciones (012)",463,388,41,11,23
"Intermediación financiera (013)",20,2,11,3,4
"Activid.inmobil., empres. y alquileres (014)",115,51,26,23,15
"Admin.pub. y defensa; p. segur soc.afil (015)",491,,,,491
"Enseñanza (016)",1010,293,258,229,230
"Servicios sociales y de salud (017)",179,51,6,4,118
"Otras activ. serv.comun.soc y personales (018)",145,115,12,13,5
"Hogares privados con servicio doméstico (019)",155,155,,,
"Actividad economica no especificada (021)",860,755,63,25,17
"Hombres (022)",19228,17132,996,331,769
"Agric., ganadería, caza y silvicultura (023)",15203,14591,541,53,18
"Pesca (024)",11,11,,,
"Explotación de minas y canteras (025)",29,2,2,3,22
"Industrias manufactureras (026)",204,190,8,1,5
"Suministro de electricidad, gas y agua (027)",15,,1,7,7
"Construcción (028)",598,354,130,78,36
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",951,918,29,4,
"Venta, mant.y rep. veh.autom y motoc. (030)",108,106,2,,
"Comercio al por mayor (031)",59,54,3,2,
"Comercio al por menor (032)",784,758,24,2,
"Hoteles y restaurantes (033)",158,134,8,1,15
"Trans., almac. y comunicaciones (034)",446,375,37,11,23
"Intermediación financiera (035)",17,2,8,3,4
"Activid.inmobil., empres. y alquileres (036)",97,41,23,18,15
"Admin.pub. y defensa; p. segur soc.afil (037)",418,,,,418
"Enseñanza (038)",547,126,159,123,139
"Servicios sociales y de salud (039)",84,33,2,1,48
"Otras activ. serv.comun.soc y personales (040)",64,41,9,10,4
"Hogares privados con servicio doméstico (041)",30,30,,,
"Actividad economica no especificada (043)",356,284,39,18,15
