"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUAMALIES (000)",66450,31270,2866,619,31746
"Menos de 1 año (001)",1375,1167,52,9,147
"De 1 a 14 años (002)",25615,20543,915,182,4003
"De 15 a 29 años (003)",15782,4711,402,185,10488
"De 30 a 44 años (004)",11257,2555,831,129,7755
"De 45 a 64 años (005)",8552,1674,526,83,6275
"De 65 y mas años (006)",3869,620,140,31,3078
"Hombres (008)",33686,15087,1427,377,16817
"Menos de 1 año (009)",694,589,27,4,74
"De 1 a 14 años (010)",13107,10557,447,90,2024
"De 15 a 29 años (011)",8121,2015,170,130,5807
"De 30 a 44 años (012)",5541,911,388,84,4162
"De 45 a 64 años (013)",4384,734,305,49,3302
"De 65 y mas años (014)",1839,281,90,20,1448
"Mujeres (016)",32764,16183,1439,242,14929
"Menos de 1 año (017)",681,578,25,5,73
"De 1 a 14 años (018)",12508,9986,468,92,1979
"De 15 a 29 años (019)",7661,2696,232,55,4681
"De 30 a 44 años (020)",5716,1644,443,45,3593
"De 45 a 64 años (021)",4168,940,221,34,2973
"De 65 y mas años (022)",2030,339,50,11,1630
,,,,,
"URBANA (024)",18696,7806,2132,363,8418
"Menos de 1 año (025)",366,287,34,5,40
"De 1 a 14 años (026)",6932,4988,701,88,1166
"De 15 a 29 años (027)",4395,1253,312,126,2705
"De 30 a 44 años (028)",3414,672,623,88,2039
"De 45 a 64 años (029)",2452,433,366,40,1616
"De 65 y mas años (030)",1137,173,96,16,852
"Hombres (032)",9235,3742,1063,245,4193
"Menos de 1 año (033)",192,152,19,2,19
"De 1 a 14 años (034)",3535,2581,348,44,565
"De 15 a 29 años (035)",2149,520,128,104,1397
"De 30 a 44 años (036)",1612,220,290,59,1045
"De 45 a 64 años (037)",1230,191,215,26,801
"De 65 y mas años (038)",517,78,63,10,366
"Mujeres (040)",9461,4064,1069,118,4225
"Menos de 1 año (041)",174,135,15,3,21
"De 1 a 14 años (042)",3397,2407,353,44,601
"De 15 a 29 años (043)",2246,733,184,22,1308
"De 30 a 44 años (044)",1802,452,333,29,994
"De 45 a 64 años (045)",1222,242,151,14,815
"De 65 y mas años (046)",620,95,33,6,486
,,,,,
"RURAL (048)",47754,23464,734,256,23328
"Menos de 1 año (049)",1009,880,18,4,107
"De 1 a 14 años (050)",18683,15555,214,94,2837
"De 15 a 29 años (051)",11387,3458,90,59,7783
"De 30 a 44 años (052)",7843,1883,208,41,5716
"De 45 a 64 años (053)",6100,1241,160,43,4659
"De 65 y mas años (054)",2732,447,44,15,2226
"Hombres (056)",24451,11345,364,132,12624
"Menos de 1 año (057)",502,437,8,2,55
"De 1 a 14 años (058)",9572,7976,99,46,1459
"De 15 a 29 años (059)",5972,1495,42,26,4410
"De 30 a 44 años (060)",3929,691,98,25,3117
"De 45 a 64 años (061)",3154,543,90,23,2501
"De 65 y mas años (062)",1322,203,27,10,1082
"Mujeres (064)",23303,12119,370,124,10704
"Menos de 1 año (065)",507,443,10,2,52
"De 1 a 14 años (066)",9111,7579,115,48,1378
"De 15 a 29 años (067)",5415,1963,48,33,3373
"De 30 a 44 años (068)",3914,1192,110,16,2599
"De 45 a 64 años (069)",2946,698,70,20,2158
"De 65 y mas años (070)",1410,244,17,5,1144
