"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ISLAY (000)",19589,2562,5387,4929,6711
"Asiste actualmente (001)",14156,1662,5245,4675,2574
"No asiste (002)",5433,900,142,254,4137
"Hombres (004)",9926,1316,2673,2494,3443
"Asiste actualmente (005)",7063,861,2601,2358,1243
"No asiste (006)",2863,455,72,136,2200
"Mujeres (008)",9663,1246,2714,2435,3268
"Asiste actualmente (009)",7093,801,2644,2317,1331
"No asiste (010)",2570,445,70,118,1937
,,,,,
"URBANA (012)",17798,2341,4936,4503,6018
"Asiste actualmente (013)",13022,1556,4806,4279,2381
"No asiste (014)",4776,785,130,224,3637
"Hombres (016)",8937,1203,2441,2270,3023
"Asiste actualmente (017)",6474,809,2372,2150,1143
"No asiste (018)",2463,394,69,120,1880
"Mujeres (020)",8861,1138,2495,2233,2995
"Asiste actualmente (021)",6548,747,2434,2129,1238
"No asiste (022)",2313,391,61,104,1757
,,,,,
"RURAL (024)",1791,221,451,426,693
"Asiste actualmente (025)",1134,106,439,396,193
"No asiste (026)",657,115,12,30,500
"Hombres (028)",989,113,232,224,420
"Asiste actualmente (029)",589,52,229,208,100
"No asiste (030)",400,61,3,16,320
"Mujeres (032)",802,108,219,202,273
"Asiste actualmente (033)",545,54,210,188,93
"No asiste (034)",257,54,9,14,180
