"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TAHUAMANU (000)",8444,598,2684,533,4645
"Conviviente (001)",3308,119,1070,159,1964
"Separado(a) (002)",322,7,81,13,221
"Casado(a) (003)",1701,50,708,138,813
"Viudo(a) (004)",182,5,35,7,135
"Divorciado(a) (005)",44,1,12,5,26
"Soltero(a) (006)",2887,416,778,211,1486
"Hombres (008)",5293,312,1904,435,2651
"Conviviente (009)",1903,41,735,127,1001
"Separado(a) (010)",193,2,57,12,122
"Casado(a) (011)",1070,26,506,114,430
"Viudo(a) (012)",88,1,16,3,68
"Divorciado(a) (013)",31,1,10,4,16
"Soltero(a) (014)",2008,241,580,175,1014
"Mujeres (016)",3151,286,780,98,1994
"Conviviente (017)",1405,78,335,32,963
"Separado(a) (018)",129,5,24,1,99
"Casado(a) (019)",631,24,202,24,383
"Viudo(a) (020)",94,4,19,4,67
"Divorciado(a) (021)",13,,2,1,10
"Soltero(a) (022)",879,175,198,36,472
,,,,,
"URBANA (024)",5968,412,2164,479,2928
"Conviviente (025)",2419,90,885,141,1307
"Separado(a) (026)",223,6,65,13,139
"Casado(a) (027)",1091,32,562,116,388
"Viudo(a) (028)",116,4,27,6,79
"Divorciado(a) (029)",34,1,10,4,19
"Soltero(a) (030)",2085,279,615,199,996
"Hombres (032)",3632,212,1480,394,1554
"Conviviente (033)",1355,33,591,114,618
"Separado(a) (034)",127,2,44,12,69
"Casado(a) (035)",689,19,388,97,190
"Viudo(a) (036)",52,1,14,3,34
"Divorciado(a) (037)",24,1,8,4,11
"Soltero(a) (038)",1385,156,435,164,632
"Mujeres (040)",2336,200,684,85,1374
"Conviviente (041)",1064,57,294,27,689
"Separado(a) (042)",96,4,21,1,70
"Casado(a) (043)",402,13,174,19,198
"Viudo(a) (044)",64,3,13,3,45
"Divorciado(a) (045)",10,,2,,8
"Soltero(a) (046)",700,123,180,35,364
,,,,,
"RURAL (048)",2476,186,520,54,1717
"Conviviente (049)",889,29,185,18,657
"Separado(a) (050)",99,1,16,,82
"Casado(a) (051)",610,18,146,22,425
"Viudo(a) (052)",66,1,8,1,56
"Divorciado(a) (053)",10,,2,1,7
"Soltero(a) (054)",802,137,163,12,490
"Hombres (056)",1661,100,424,41,1097
"Conviviente (057)",548,8,144,13,383
"Separado(a) (058)",66,,13,,53
"Casado(a) (059)",381,7,118,17,240
"Viudo(a) (060)",36,,2,,34
"Divorciado(a) (061)",7,,2,,5
"Soltero(a) (062)",623,85,145,11,382
"Mujeres (064)",815,86,96,13,620
"Conviviente (065)",341,21,41,5,274
"Separado(a) (066)",33,1,3,,29
"Casado(a) (067)",229,11,28,5,185
"Viudo(a) (068)",30,1,6,1,22
"Divorciado(a) (069)",3,,,1,2
"Soltero(a) (070)",179,52,18,1,108
