"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia SANDIA",,,,,,,,,
"Viviendas particulares (001)",19006,884,6895,1681,177,167,8435,51,716
"Ocupantes presentes (002)",61326,3046,22273,4512,365,441,28905,202,1582
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",16797,777,6413,1479,107,94,7599,48,280
"Ocupantes presentes (005)",56093,2775,20910,4066,231,296,26981,191,643
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",11,5,6,,,,,,
"Ocupantes presentes (011)",22,10,12,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",402,95,295,6,,1,,2,3
"Ocupantes presentes (014)",1142,253,853,10,,3,,8,15
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1710,,178,191,70,72,830,,369
"Ocupantes presentes (017)",3815,,491,418,134,142,1911,,719
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",45,,,4,,,,,41
"Ocupantes presentes (020)",156,,,15,,,,,141
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",20,7,3,1,,,6,1,2
"Ocupantes presentes (023)",36,8,7,3,,,13,3,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",21,,,,,,,,21
"Ocupantes presentes (026)",62,,,,,,,,62
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4404,686,1607,42,5,30,1893,37,104
"Ocupantes presentes (029)",15848,2315,6180,136,17,110,6573,152,365
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3933,582,1305,32,5,29,1892,34,54
"Ocupantes presentes (032)",14499,2047,5314,111,17,107,6571,141,191
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",11,5,6,,,,,,
"Ocupantes presentes (038)",22,10,12,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",402,95,295,6,,1,,2,3
"Ocupantes presentes (041)",1142,253,853,10,,3,,8,15
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",45,,,4,,,,,41
"Ocupantes presentes (047)",156,,,15,,,,,141
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",8,4,1,,,,1,1,1
"Ocupantes presentes (050)",12,5,1,,,,2,3,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",5,,,,,,,,5
"Ocupantes presentes (053)",17,,,,,,,,17
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",14602,198,5288,1639,172,137,6542,14,612
"Ocupantes presentes (056)",45478,731,16093,4376,348,331,22332,50,1217
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",12864,195,5108,1447,102,65,5707,14,226
"Ocupantes presentes (059)",41594,728,15596,3955,214,189,20410,50,452
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1710,,178,191,70,72,830,,369
"Ocupantes presentes (071)",3815,,491,418,134,142,1911,,719
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",12,3,2,1,,,5,,1
"Ocupantes presentes (077)",24,3,6,3,,,11,,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",16,,,,,,,,16
"Ocupantes presentes (080)",45,,,,,,,,45
