"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ACOMAYO (000)",23248,6933,5305,4936,3812,2262
"Hombres (001)",11428,3541,2708,2467,1811,901
"Mujeres (002)",11820,3392,2597,2469,2001,1361
"PEA (003)",7899,206,1978,2905,2069,741
"Hombres (004)",5294,119,1301,2016,1405,453
"Mujeres (005)",2605,87,677,889,664,288
"Ocupada (006)",7633,198,1863,2824,2014,734
"Hombres (007)",5093,117,1221,1951,1358,446
"Mujeres (008)",2540,81,642,873,656,288
"Desocupada (009)",266,8,115,81,55,7
"Hombres (010)",201,2,80,65,47,7
"Mujeres (011)",65,6,35,16,8,
"No PEA (012)",15349,6727,3327,2031,1743,1521
"Hombres (013)",6134,3422,1407,451,406,448
"Mujeres (014)",9215,3305,1920,1580,1337,1073
,,,,,,
"URBANA (018)",12428,3571,2765,2659,2112,1321
"Hombres (019)",6080,1836,1396,1314,1008,526
"Mujeres (020)",6348,1735,1369,1345,1104,795
"PEA (021)",4648,134,1098,1691,1268,457
"Hombres (022)",2945,76,682,1099,819,269
"Mujeres (023)",1703,58,416,592,449,188
"Ocupada (024)",4486,129,1025,1645,1235,452
"Hombres (025)",2826,75,629,1066,792,264
"Mujeres (026)",1660,54,396,579,443,188
"Desocupada (027)",162,5,73,46,33,5
"Hombres (028)",119,1,53,33,27,5
"Mujeres (029)",43,4,20,13,6,
"No PEA (030)",7780,3437,1667,968,844,864
"Hombres (031)",3135,1760,714,215,189,257
"Mujeres (032)",4645,1677,953,753,655,607
,,,,,,
"RURAL (036)",10820,3362,2540,2277,1700,941
"Hombres (037)",5348,1705,1312,1153,803,375
"Mujeres (038)",5472,1657,1228,1124,897,566
"PEA (039)",3251,72,880,1214,801,284
"Hombres (040)",2349,43,619,917,586,184
"Mujeres (041)",902,29,261,297,215,100
"Ocupada (042)",3147,69,838,1179,779,282
"Hombres (043)",2267,42,592,885,566,182
"Mujeres (044)",880,27,246,294,213,100
"Desocupada (045)",104,3,42,35,22,2
"Hombres (046)",82,1,27,32,20,2
"Mujeres (047)",22,2,15,3,2,
"No PEA (048)",7569,3290,1660,1063,899,657
"Hombres (049)",2999,1662,693,236,217,191
"Mujeres (050)",4570,1628,967,827,682,466
