"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia URUBAMBA (000)",13169,10950,2219
"Red pública dentro de la vivienda (001)",7371,6794,577
"Red pública fuera de la vivienda (002)",1302,1148,154
"Pilón de uso público (003)",525,423,102
"Camión - cisterna u otro similar (004)",67,57,10
"Pozo (005)",370,286,84
"Río, acequia, manatial o similar (006)",2892,1775,1117
"Vecino (007)",273,168,105
"Otro (008)",369,299,70
,,,
"URBANA (010)",6101,5607,494
"Red pública dentro de la vivienda (011)",4452,4161,291
"Red pública fuera de la vivienda (012)",927,868,59
"Pilón de uso público (013)",279,239,40
"Camión - cisterna u otro similar (014)",4,4,
"Pozo (015)",45,37,8
"Río, acequia, manatial o similar (016)",161,112,49
"Vecino (017)",93,67,26
"Otro (018)",140,119,21
,,,
"RURAL (020)",7068,5343,1725
"Red pública dentro de la vivienda (021)",2919,2633,286
"Red pública fuera de la vivienda (022)",375,280,95
"Pilón de uso público (023)",246,184,62
"Camión - cisterna u otro similar (024)",63,53,10
"Pozo (025)",325,249,76
"Río, acequia, manatial o similar (026)",2731,1663,1068
"Vecino (027)",180,101,79
"Otro (028)",229,180,49
