"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia ANTABAMBA",,,,,,,
"Viviendas particulares (001)",3789,226,154,48,399,116,2846
"Ocupantes presentes (002)",12064,783,495,185,1355,495,8751
"Casa independiente",,,,,,,
"Viviendas particulares (004)",3471,221,138,47,368,112,2585
"Ocupantes presentes (005)",11220,768,454,181,1254,483,8080
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",47,4,16,,,,27
"Ocupantes presentes (014)",140,14,41,,,,85
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",266,,,1,30,4,231
"Ocupantes presentes (017)",699,,,4,100,12,583
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",5,1,,,1,,3
"Ocupantes presentes (023)",5,1,,,1,,3
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",2522,224,154,32,193,105,1814
"Ocupantes presentes (029)",8488,778,495,117,676,474,5948
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2470,219,138,32,192,105,1784
"Ocupantes presentes (032)",8343,763,454,117,675,474,5860
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",47,4,16,,,,27
"Ocupantes presentes (041)",140,14,41,,,,85
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",5,1,,,1,,3
"Ocupantes presentes (050)",5,1,,,1,,3
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",1267,2,,16,206,11,1032
"Ocupantes presentes (056)",3576,5,,68,679,21,2803
"Casa independiente",,,,,,,
"Viviendas particulares (058)",1001,2,,15,176,7,801
"Ocupantes presentes (059)",2877,5,,64,579,9,2220
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",266,,,1,30,4,231
"Ocupantes presentes (071)",699,,,4,100,12,583
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Otro tipo",,,,,,,
