"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia CHUCUITO",,,,,,,
"Viviendas particulares (001)",33100,2302,900,1468,9665,4018,14747
"Ocupantes presentes (002)",124979,10294,3970,5514,37257,15095,52849
"Casa independiente",,,,,,,
"Viviendas particulares (004)",30112,2162,789,1389,8783,3704,13285
"Ocupantes presentes (005)",112590,9662,3533,5166,33547,13644,47038
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",31,25,6,,,,
"Ocupantes presentes (008)",138,115,23,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",29,12,9,,,,8
"Ocupantes presentes (011)",89,40,19,,,,30
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",233,95,96,,,,42
"Ocupantes presentes (014)",1004,446,395,,,,163
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",2674,1,,78,877,310,1408
"Ocupantes presentes (017)",11089,5,,343,3699,1440,5602
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",1,1,,,,,
"Ocupantes presentes (020)",5,5,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",18,6,,1,4,3,4
"Ocupantes presentes (023)",62,21,,5,10,10,16
"Otro tipo",,,,,,,
"Viviendas particulares (025)",2,,,,1,1,
"Ocupantes presentes (026)",2,,,,1,1,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",8057,2257,826,213,1175,1509,2077
"Ocupantes presentes (029)",34521,10130,3726,819,5247,6145,8454
"Casa independiente",,,,,,,
"Viviendas particulares (031)",7750,2118,715,213,1174,1505,2025
"Ocupantes presentes (032)",33244,9503,3289,819,5245,6134,8254
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",31,25,6,,,,
"Ocupantes presentes (035)",138,115,23,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",29,12,9,,,,8
"Ocupantes presentes (038)",89,40,19,,,,30
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",233,95,96,,,,42
"Ocupantes presentes (041)",1004,446,395,,,,163
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",1,1,,,,,
"Ocupantes presentes (047)",5,5,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",12,6,,,1,3,2
"Ocupantes presentes (050)",40,21,,,2,10,7
"Otro tipo",,,,,,,
"Viviendas particulares (052)",1,,,,,1,
"Ocupantes presentes (053)",1,,,,,1,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",25043,45,74,1255,8490,2509,12670
"Ocupantes presentes (056)",90458,164,244,4695,32010,8950,44395
"Casa independiente",,,,,,,
"Viviendas particulares (058)",22362,44,74,1176,7609,2199,11260
"Ocupantes presentes (059)",79346,159,244,4347,28302,7510,38784
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",2674,1,,78,877,310,1408
"Ocupantes presentes (071)",11089,5,,343,3699,1440,5602
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",6,,,1,3,,2
"Ocupantes presentes (077)",22,,,5,8,,9
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,1,,
"Ocupantes presentes (080)",1,,,,1,,
