"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAURA (000)",184632,15351,4869,52801,66139,6011,6745,14062,18654
"Jefe o Jefa (001)",49749,2655,26,14291,18384,1706,2293,3095,7299
"Esposa(o)/ compa¤era(o) (002)",30126,2418,27,8765,10938,953,1559,1591,3875
"Hijo(a)/ hijastro(a) (003)",71649,6241,3372,19954,25510,2404,1914,6991,5263
"Yerno/ nuera (004)",4010,22,1,299,2207,213,279,366,623
"Nieto(a) (005)",11706,2125,1107,4217,3082,170,115,651,239
"Padres/ suegros (006)",2900,855,,1477,386,15,63,17,87
"Otro(a) pariente (007)",11725,853,295,3236,4556,425,379,1069,912
"Trabajador(a) del hogar (008)",155,20,1,36,75,6,1,9,7
"Pensionista (009)",206,10,,41,82,13,9,22,29
"Otro(a) no pariente (010)",2406,152,40,485,919,106,133,251,320
"Hombres (012)",92359,6051,2540,25871,35529,3186,2958,7093,9131
"Jefe o Jefa (013)",36088,1106,14,10069,14391,1316,1577,2225,5390
"Esposa(o)/ compa¤era(o) (014)",2190,71,2,520,994,89,94,141,279
"Hijo(a)/ hijastro(a) (015)",37211,3197,1791,10380,13935,1273,823,3491,2321
"Yerno/ nuera (016)",2071,9,1,146,1116,110,147,174,368
"Nieto(a) (017)",6084,1082,557,2181,1645,87,50,365,117
"Padres/ suegros (018)",899,129,,533,160,5,22,11,39
"Otro(a) pariente (019)",6294,380,157,1694,2662,234,176,543,448
"Trabajador(a) del hogar (020)",19,2,,3,10,,,3,1
"Pensionista (021)",141,5,,29,58,10,5,14,20
"Otro(a) no pariente (022)",1362,70,18,316,558,62,64,126,148
"Mujeres (024)",92273,9300,2329,26930,30610,2825,3787,6969,9523
"Jefe o Jefa (025)",13661,1549,12,4222,3993,390,716,870,1909
"Esposa(o)/ compa¤era(o) (026)",27936,2347,25,8245,9944,864,1465,1450,3596
"Hijo(a)/ hijastro(a) (027)",34438,3044,1581,9574,11575,1131,1091,3500,2942
"Yerno/ nuera (028)",1939,13,,153,1091,103,132,192,255
"Nieto(a) (029)",5622,1043,550,2036,1437,83,65,286,122
"Padres/ suegros (030)",2001,726,,944,226,10,41,6,48
"Otro(a) pariente (031)",5431,473,138,1542,1894,191,203,526,464
"Trabajador(a) del hogar (032)",136,18,1,33,65,6,1,6,6
"Pensionista (033)",65,5,,12,24,3,4,8,9
"Otro(a) no pariente (034)",1044,82,22,169,361,44,69,125,172
,,,,,,,,,
"URBANA (036)",159568,11817,4243,43047,57529,5461,6298,13223,17950
"Jefe o Jefa (037)",42493,1816,23,11224,15808,1553,2150,2903,7016
"Esposa(o)/ compa¤era(o) (038)",25445,1494,27,6811,9479,892,1467,1505,3770
"Hijo(a)/ hijastro(a) (039)",61618,5009,2880,16348,21950,2133,1761,6521,5016
"Yerno/ nuera (040)",3637,16,1,217,1983,203,266,351,600
"Nieto(a) (041)",10691,1898,1007,3816,2849,151,107,630,233
"Padres/ suegros (042)",2620,708,,1365,368,14,62,16,87
