"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia LEONCIO PRADO (000)",70072,65488,4584
"Hombres (001)",36868,34635,2233
"Mujeres (002)",33204,30853,2351
"De 18 a 29 años (003)",25951,23382,2569
"Hombres (004)",13599,12183,1416
"Mujeres (005)",12352,11199,1153
"De 30 a 44 años (006)",23401,22572,829
"Hombres (007)",12051,11691,360
"Mujeres (008)",11350,10881,469
"De 45 a 64 años (009)",15743,15170,573
"Hombres (010)",8583,8357,226
"Mujeres (011)",7160,6813,347
"De 65 y más años (012)",4977,4364,613
"Hombres (013)",2635,2404,231
"Mujeres (014)",2342,1960,382
,,,
"URBANA (015)",42475,40500,1975
"Hombres (016)",21071,20103,968
"Mujeres (017)",21404,20397,1007
"De 18 a 29 años (018)",15653,14399,1254
"Hombres (019)",7833,7109,724
"Mujeres (020)",7820,7290,530
"De 30 a 44 años (021)",14158,13884,274
"Hombres (022)",6813,6702,111
"Mujeres (023)",7345,7182,163
"De 45 a 64 años (024)",9739,9548,191
"Hombres (025)",5014,4941,73
"Mujeres (026)",4725,4607,118
"De 65 y más años (027)",2925,2669,256
"Hombres (028)",1411,1351,60
"Mujeres (029)",1514,1318,196
,,,
"RURAL (030)",27597,24988,2609
"Hombres (031)",15797,14532,1265
"Mujeres (032)",11800,10456,1344
"De 18 a 29 años (033)",10298,8983,1315
"Hombres (034)",5766,5074,692
"Mujeres (035)",4532,3909,623
"De 30 a 44 años (036)",9243,8688,555
"Hombres (037)",5238,4989,249
"Mujeres (038)",4005,3699,306
"De 45 a 64 años (039)",6004,5622,382
"Hombres (040)",3569,3416,153
"Mujeres (041)",2435,2206,229
"De 65 y más años (042)",2052,1695,357
"Hombres (043)",1224,1053,171
"Mujeres (044)",828,642,186
