"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia VILCAS HUAMAN (000)",22188,9695,1443,225,10836
"Quechua (001)",19884,8686,999,152,10057
"Aymara (002)",14,3,2,,9
"Asháninka (003)",2,,,1,1
"Otra lengua nativa (004)",11,8,2,,1
"Castellano (005)",2232,981,440,72,740
"Idioma Extranjero (006)",1,,,,1
"Es Sordomudo/a (007)",44,17,,,27
"Hombres (009)",10776,4563,774,120,5325
"Quechua (010)",9562,4045,541,77,4905
"Aymara (011)",7,1,1,,5
"Asháninka (012)",1,,,1,
"Otra lengua nativa (013)",7,5,1,,1
"Castellano (014)",1174,502,231,42,399
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",24,10,,,14
"Mujeres (018)",11412,5132,669,105,5511
"Quechua (019)",10322,4641,458,75,5152
"Aymara (020)",7,2,1,,4
"Asháninka (021)",1,,,,1
"Otra lengua nativa (022)",4,3,1,,
"Castellano (023)",1058,479,209,30,341
"Es Sordomudo/a (025)",20,7,,,13
,,,,,
"URBANA (027)",7100,2106,996,165,3834
"Quechua (028)",5708,1627,636,110,3335
"Aymara (029)",7,2,1,,4
"Asháninka (030)",2,,,1,1
"Otra lengua nativa (031)",8,5,2,,1
"Castellano (032)",1362,468,357,54,484
"Idioma Extranjero (033)",1,,,,1
"Es Sordomudo/a (034)",12,4,,,8
"Hombres (036)",3479,1009,538,84,1848
"Quechua (037)",2778,779,349,51,1599
"Aymara (038)",3,,,,3
"Asháninka (039)",1,,,1,
"Otra lengua nativa (040)",5,3,1,,1
"Castellano (041)",685,226,188,32,239
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",6,1,,,5
"Mujeres (045)",3621,1097,458,81,1986
"Quechua (046)",2930,848,287,59,1736
"Aymara (047)",4,2,1,,1
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",3,2,1,,
"Castellano (050)",677,242,169,22,245
"Es Sordomudo/a (052)",6,3,,,3
,,,,,
"RURAL (054)",15088,7589,447,60,7002
"Quechua (055)",14176,7059,363,42,6722
"Aymara (056)",7,1,1,,5
"Otra lengua nativa (058)",3,3,,,
"Castellano (059)",870,513,83,18,256
"Es Sordomudo/a (061)",32,13,,,19
"Hombres (063)",7297,3554,236,36,3477
"Quechua (064)",6784,3266,192,26,3306
"Aymara (065)",4,1,1,,2
"Otra lengua nativa (067)",2,2,,,
"Castellano (068)",489,276,43,10,160
"Es Sordomudo/a (070)",18,9,,,9
"Mujeres (072)",7791,4035,211,24,3525
"Quechua (073)",7392,3793,171,16,3416
"Aymara (074)",3,,,,3
"Otra lengua nativa (076)",1,1,,,
"Castellano (077)",381,237,40,8,96
"Es Sordomudo/a (079)",14,4,,,10
