"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SANTA CRUZ (000)",19889,2724,6372,5687,5106
"Asiste actualmente (001)",13820,1421,6100,4900,1399
"No asiste (002)",6069,1303,272,787,3707
"Hombres (004)",10339,1417,3242,3016,2664
"Asiste actualmente (005)",7298,709,3099,2641,849
"No asiste (006)",3041,708,143,375,1815
"Mujeres (008)",9550,1307,3130,2671,2442
"Asiste actualmente (009)",6522,712,3001,2259,550
"No asiste (010)",3028,595,129,412,1892
,,,,,
"URBANA (012)",3932,537,1173,1134,1088
"Asiste actualmente (013)",3043,364,1131,1066,482
"No asiste (014)",889,173,42,68,606
"Hombres (016)",1948,268,594,589,497
"Asiste actualmente (017)",1557,179,575,558,245
"No asiste (018)",391,89,19,31,252
"Mujeres (020)",1984,269,579,545,591
"Asiste actualmente (021)",1486,185,556,508,237
"No asiste (022)",498,84,23,37,354
,,,,,
"RURAL (024)",15957,2187,5199,4553,4018
"Asiste actualmente (025)",10777,1057,4969,3834,917
"No asiste (026)",5180,1130,230,719,3101
"Hombres (028)",8391,1149,2648,2427,2167
"Asiste actualmente (029)",5741,530,2524,2083,604
"No asiste (030)",2650,619,124,344,1563
"Mujeres (032)",7566,1038,2551,2126,1851
"Asiste actualmente (033)",5036,527,2445,1751,313
"No asiste (034)",2530,511,106,375,1538
