"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SIHUAS (000)",7658,92,2756,2730,824,273,129,63,5,,786
"Conviviente (001)",2361,23,967,820,228,62,34,5,,,222
"Separado(a) (002)",435,7,167,160,46,12,7,5,,,31
"Casado(a) (003)",3283,38,1162,1250,379,133,64,29,3,,225
"Viudo(a) (004)",821,15,252,315,92,33,15,19,2,,78
"Divorciado(a) (005)",28,2,10,7,4,3,,1,,,1
"Soltero(a) (006)",730,7,198,178,75,30,9,4,,,229
,,,,,,,,,,,
"URBANA (008)",2066,20,667,713,278,105,54,24,1,,204
"Conviviente (009)",611,5,232,210,77,22,13,2,,,50
"Separado(a) (010)",135,,51,46,14,7,3,3,,,11
"Casado(a) (011)",892,8,252,335,134,54,31,10,,,68
"Viudo(a) (012)",199,5,65,64,24,11,4,5,1,,20
"Divorciado(a) (013)",13,1,3,3,2,2,,1,,,1
"Soltero(a) (014)",216,1,64,55,27,9,3,3,,,54
,,,,,,,,,,,
"RURAL (016)",5592,72,2089,2017,546,168,75,39,4,,582
"Conviviente (017)",1750,18,735,610,151,40,21,3,,,172
"Separado(a) (018)",300,7,116,114,32,5,4,2,,,20
"Casado(a) (019)",2391,30,910,915,245,79,33,19,3,,157
"Viudo(a) (020)",622,10,187,251,68,22,11,14,1,,58
"Divorciado(a) (021)",15,1,7,4,2,1,,,,,
"Soltero(a) (022)",514,6,134,123,48,21,6,1,,,175
