"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia VIRU (000)",27010,25679,7813,4521,3756,2657,3278,1909,1745,1331
"Católica (001)",18239,17246,5416,3176,2584,1807,2115,1136,1012,993
"Cristiana/Evangélica (002)",6535,6278,1620,916,845,656,948,645,648,257
"Otra (003)",728,706,239,119,95,61,92,53,47,22
"Ninguna (004)",1508,1449,538,310,232,133,123,75,38,59
,,,,,,,,,,
"URBANA (006)",20988,19936,6189,3697,3051,2104,2469,1334,1092,1052
"Católica (007)",13994,13221,4223,2580,2072,1397,1572,772,605,773
"Cristiana/Evangélica (008)",5123,4912,1309,747,698,541,724,463,430,211
"Otra (009)",567,550,186,101,77,48,69,39,30,17
"Ninguna (010)",1304,1253,471,269,204,118,104,60,27,51
,,,,,,,,,,
"RURAL (012)",6022,5743,1624,824,705,553,809,575,653,279
"Católica (013)",4245,4025,1193,596,512,410,543,364,407,220
"Cristiana/Evangélica (014)",1412,1366,311,169,147,115,224,182,218,46
"Otra (015)",161,156,53,18,18,13,23,14,17,5
"Ninguna (016)",204,196,67,41,28,15,19,15,11,8
