"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANCANE (000)",66182,2786,15467,11374,7840,7536,6450,5711,9018
"Quechua (001)",20400,614,4080,3694,2763,2545,2283,1969,2452
"Aymara (002)",35249,1086,6976,5103,4005,4333,3805,3553,6388
"Ashaninca (003)",32,1,11,7,3,2,2,4,2
"Otra lengua nativa (004)",11,2,5,3,,,1,,
"Castellano (005)",10392,1080,4368,2554,1052,643,348,180,167
"Idioma extranjero (006)",5,,2,,2,,,1,
"Es sordomudo/a (007)",93,3,25,13,15,13,11,4,9
"Hombres (009)",32021,1415,7867,5744,3725,3525,3026,2598,4121
"Quechua (010)",9794,310,2082,1816,1303,1192,1046,875,1170
"Aymara (011)",16721,537,3474,2589,1881,1998,1783,1609,2850
"Ashaninca (012)",16,1,5,5,2,1,,1,1
"Otra lengua nativa (013)",7,,3,3,,,1,,
"Castellano (014)",5427,566,2288,1326,528,324,189,110,96
"Idioma extranjero (015)",2,,1,,1,,,,
"Es sordomudo/a (016)",54,1,14,5,10,10,7,3,4
"Mujeres (018)",34161,1371,7600,5630,4115,4011,3424,3113,4897
"Quechua (019)",10606,304,1998,1878,1460,1353,1237,1094,1282
"Aymara (020)",18528,549,3502,2514,2124,2335,2022,1944,3538
"Ashaninca (021)",16,,6,2,1,1,2,3,1
"Otra lengua nativa (022)",4,2,2,,,,,,
"Castellano (023)",4965,514,2080,1228,524,319,159,70,71
"Idioma extranjero (024)",3,,1,,1,,,1,
"Es sordomudo/a (025)",39,2,11,8,5,3,4,1,5
,,,,,,,,,
"URBANA (027)",13138,526,2924,2791,1934,1846,1271,840,1006
"Quechua (028)",2402,42,325,400,378,426,295,242,294
"Aymara (029)",4821,45,515,797,753,909,705,473,624
"Ashaninca (030)",6,,2,1,1,1,,1,
"Otra lengua nativa (031)",8,1,4,3,,,,,
"Castellano (032)",5890,438,2071,1590,799,510,271,123,88
"Idioma extranjero (033)",5,,2,,2,,,1,
"Es sordomudo/a (034)",6,,5,,1,,,,
"Hombres (036)",6590,259,1523,1431,916,889,627,430,515
"Quechua (037)",1166,17,178,194,161,216,134,111,155
"Aymara (038)",2390,27,255,423,364,422,348,241,310
"Ashaninca (039)",2,,,1,1,,,,
"Otra lengua nativa (040)",5,,2,3,,,,,
"Castellano (041)",3022,215,1085,810,388,251,145,78,50
"Idioma extranjero (042)",2,,1,,1,,,,
"Es sordomudo/a (043)",3,,2,,1,,,,
"Mujeres (045)",6548,267,1401,1360,1018,957,644,410,491
"Quechua (046)",1236,25,147,206,217,210,161,131,139
"Aymara (047)",2431,18,260,374,389,487,357,232,314
"Ashaninca (048)",4,,2,,,1,,1,
"Otra lengua nativa (049)",3,1,2,,,,,,
"Castellano (050)",2868,223,986,780,411,259,126,45,38
"Idioma extranjero (051)",3,,1,,1,,,1,
"Es sordomudo/a (052)",3,,3,,,,,,
,,,,,,,,,
"RURAL (054)",53044,2260,12543,8583,5906,5690,5179,4871,8012
"Quechua (055)",17998,572,3755,3294,2385,2119,1988,1727,2158
"Aymara (056)",30428,1041,6461,4306,3252,3424,3100,3080,5764
"Ashaninca (057)",26,1,9,6,2,1,2,3,2
"Otra lengua nativa (058)",3,1,1,,,,1,,
"Castellano (059)",4502,642,2297,964,253,133,77,57,79
"Es sordomudo/a (061)",87,3,20,13,14,13,11,4,9
"Hombres (063)",25431,1156,6344,4313,2809,2636,2399,2168,3606
"Quechua (064)",8628,293,1904,1622,1142,976,912,764,1015
"Aymara (065)",14331,510,3219,2166,1517,1576,1435,1368,2540
"Ashaninca (066)",14,1,5,4,1,1,,1,1
"Otra lengua nativa (067)",2,,1,,,,1,,
"Castellano (068)",2405,351,1203,516,140,73,44,32,46
"Es sordomudo/a (070)",51,1,12,5,9,10,7,3,4
"Mujeres (072)",27613,1104,6199,4270,3097,3054,2780,2703,4406
"Quechua (073)",9370,279,1851,1672,1243,1143,1076,963,1143
"Aymara (074)",16097,531,3242,2140,1735,1848,1665,1712,3224
"Ashaninca (075)",12,,4,2,1,,2,2,1
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",2097,291,1094,448,113,60,33,25,33
"Es sordomudo/a (079)",36,2,8,8,5,3,4,1,5
