"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PASCO (000)",133128,11164,39615,3083,79672
"Hombres (001)",67858,5366,21929,2119,38787
"Mujeres (002)",65270,5798,17686,964,40885
"PEA (003)",52619,1344,17981,1849,31748
"Hombres (004)",38292,815,13852,1547,22357
"Mujeres (005)",14327,529,4129,302,9391
"Ocupada (006)",49019,1268,17502,1786,28764
"Hombres (007)",35763,766,13500,1489,20285
"Mujeres (008)",13256,502,4002,297,8479
"Desocupada (009)",3600,76,479,63,2984
"Hombres (010)",2529,49,352,58,2072
"Mujeres (011)",1071,27,127,5,912
"No PEA (012)",80509,9820,21634,1234,47924
"Hombres (013)",29566,4551,8077,572,16430
"Mujeres (014)",50943,5269,13557,662,31494
,,,,,
"URBANA (018)",101460,7442,35781,2581,55883
"Hombres (019)",50960,3470,19182,1715,26765
"Mujeres (020)",50500,3972,16599,866,29118
"PEA (021)",40339,1119,15550,1516,22316
"Hombres (022)",28272,669,11630,1242,14874
"Mujeres (023)",12067,450,3920,274,7442
"Ocupada (024)",37525,1054,15098,1458,20075
"Hombres (025)",26318,627,11302,1189,13341
"Mujeres (026)",11207,427,3796,269,6734
"Desocupada (027)",2814,65,452,58,2241
"Hombres (028)",1954,42,328,53,1533
"Mujeres (029)",860,23,124,5,708
"No PEA (030)",61121,6323,20231,1065,33567
"Hombres (031)",22688,2801,7552,473,11891
"Mujeres (032)",38433,3522,12679,592,21676
,,,,,
"RURAL (036)",31668,3722,3834,502,23789
"Hombres (037)",16898,1896,2747,404,12022
"Mujeres (038)",14770,1826,1087,98,11767
"PEA (039)",12280,225,2431,333,9432
"Hombres (040)",10020,146,2222,305,7483
"Mujeres (041)",2260,79,209,28,1949
"Ocupada (042)",11494,214,2404,328,8689
"Hombres (043)",9445,139,2198,300,6944
"Mujeres (044)",2049,75,206,28,1745
"Desocupada (045)",786,11,27,5,743
"Hombres (046)",575,7,24,5,539
"Mujeres (047)",211,4,3,,204
"No PEA (048)",19388,3497,1403,169,14357
"Hombres (049)",6878,1750,525,99,4539
"Mujeres (050)",12510,1747,878,70,9818
