"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia ANDAHUAYLAS (000)",143846,142709,599,538
"Hombres (001)",70223,69724,232,267
"Mujeres (002)",73623,72985,367,271
"Menores de 1 año (003)",2779,2459,176,144
"Hombres (004)",1379,1219,89,71
"Mujeres (005)",1400,1240,87,73
"De 1 a 5 años (006)",17059,16567,129,363
"Hombres (007)",8754,8490,76,188
"Mujeres (008)",8305,8077,53,175
"De 6 a 14 años (009)",34007,33985,5,17
"Hombres (010)",17337,17329,3,5
"Mujeres (011)",16670,16656,2,12
"De 15 a 29 años (012)",36222,36210,10,2
"Hombres (013)",17712,17709,3,
"Mujeres (014)",18510,18501,7,2
"De 30 a 44 años (015)",25940,25931,7,2
"Hombres (016)",12461,12457,4,
"Mujeres (017)",13479,13474,3,2
"De 45 a 64 años (018)",18184,18146,36,2
"Hombres (019)",8559,8552,7,
"Mujeres (020)",9625,9594,29,2
"De 65 a más años (021)",9655,9411,236,8
"Hombres (022)",4021,3968,50,3
"Mujeres (023)",5634,5443,186,5
,,,,
"URBANA (024)",64704,64191,239,274
"Hombres (025)",31539,31302,97,140
"Mujeres (026)",33165,32889,142,134
"Menores de 1 año (027)",1206,1053,91,62
"Hombres (028)",605,531,43,31
"Mujeres (029)",601,522,48,31
"De 1 a 5 años (030)",7103,6837,70,196
"Hombres (031)",3672,3526,40,106
"Mujeres (032)",3431,3311,30,90
"De 6 a 14 años (033)",14410,14398,1,11
"Hombres (034)",7267,7265,1,1
"Mujeres (035)",7143,7133,,10
"De 15 a 29 años (036)",17738,17732,5,1
"Hombres (037)",8525,8524,1,
"Mujeres (038)",9213,9208,4,1
"De 30 a 44 años (039)",12908,12906,2,
"Hombres (040)",6194,6193,1,
"Mujeres (041)",6714,6713,1,
"De 45 a 64 años (042)",7848,7833,15,
"Hombres (043)",3812,3809,3,
"Mujeres (044)",4036,4024,12,
"De 65 a más años (045)",3491,3432,55,4
"Hombres (046)",1464,1454,8,2
"Mujeres (047)",2027,1978,47,2
,,,,
"RURAL (048)",79142,78518,360,264
"Hombres (049)",38684,38422,135,127
"Mujeres (050)",40458,40096,225,137
"Menores de 1 año (051)",1573,1406,85,82
"Hombres (052)",774,688,46,40
"Mujeres (053)",799,718,39,42
"De 1 a 5 años (054)",9956,9730,59,167
"Hombres (055)",5082,4964,36,82
"Mujeres (056)",4874,4766,23,85
"De 6 a 14 años (057)",19597,19587,4,6
"Hombres (058)",10070,10064,2,4
"Mujeres (059)",9527,9523,2,2
"De 15 a 29 años (060)",18484,18478,5,1
"Hombres (061)",9187,9185,2,
"Mujeres (062)",9297,9293,3,1
"De 30 a 44 años (063)",13032,13025,5,2
"Hombres (064)",6267,6264,3,
"Mujeres (065)",6765,6761,2,2
"De 45 a 64 años (066)",10336,10313,21,2
"Hombres (067)",4747,4743,4,
"Mujeres (068)",5589,5570,17,2
"De 65 a más años (069)",6164,5979,181,4
"Hombres (070)",2557,2514,42,1
"Mujeres (071)",3607,3465,139,3
